sp
Tachyglossus_aculeatus
Zaglossus_bruijni
Zaglossus_bartoni
Ornithorhynchus_anatinus
Anomalurus_pusillus
Anomalurus_beecrofti
Anomalurus_derbianus
Anomalurus_pelii
Zenkerella_insignis
Idiurus_macrotis
Idiurus_zenkeri
Pedetes_capensis
Pedetes_surdaster
Allactaga_sibirica
Allactaga_severtzovi
Allactaga_hotsoni
Allactaga_bullata
Allactaga_elater
Allactaga_major
Allactaga_firouzi
Allactaga_balikunica
Allactaga_euphratica
Allactaga_williamsi
Allactaga_tetradactyla
Allactaga_vinogradovi
Zapus_princeps
Zapus_trinotatus
Zapus_hudsonius
Eozapus_setchuanus
Napaeozapus_insignis
Paradipus_ctenodactylus
Euchoreutes_naso
Cardiocranius_paradoxus
Salpingotus_kozlovi
Salpingotus_thomasi
Salpingotus_heptneri
Salpingotus_crassicauda
Salpingotulus_michaelis
Salpingotus_pallidus
Sicista_tianshanica
Sicista_severtzovi
Sicista_strandi
Sicista_caudata
Sicista_betulina
Sicista_caucasica
Sicista_armenica
Sicista_concolor
Sicista_pseudonapaea
Sicista_kluchorica
Sicista_subtilis
Sicista_kazbegica
Sicista_napaea
Jaculus_orientalis
Jaculus_jaculus
Jaculus_blanfordi
Stylodipus_sungorus
Stylodipus_andrewsi
Stylodipus_telum
Eremodipus_lichtensteini
Dipus_sagitta
Pygeretmus_shitkovi
Pygeretmus_pumilio
Pygeretmus_platyurus
Allactodipus_bobrinskii
Cannomys_badius
Rhizomys_sinensis
Rhizomys_pruinosus
Rhizomys_sumatrensis
Tachyoryctes_ruandae
Tachyoryctes_splendens
Tachyoryctes_ibeanus
Tachyoryctes_rex
Tachyoryctes_macrocephalus
Tachyoryctes_daemon
Tachyoryctes_ruddi
Tachyoryctes_annectens
Tachyoryctes_ankoliae
Tachyoryctes_naivashae
Tachyoryctes_audax
Tachyoryctes_spalacinus
Gerbilliscus_afra
Gerbilliscus_guineae
Gerbilliscus_brantsii
Gerbilliscus_leucogaster
Gerbilliscus_nigricaudus
Gerbilliscus_validus
Gerbilliscus_phillipsi
Gerbilliscus_kempi
Gerbilliscus_inclusus
Gerbilliscus_robustus
Gerbilliscus_boehmi
Tatera_indica
Meriones_hurrianae
Meriones_tamariscinus
Meriones_unguiculatus
Meriones_zarudnyi
Meriones_chengi
Meriones_shawi
Meriones_grandis
Meriones_libycus
Meriones_meridianus
Meriones_crassus
Meriones_sacramenti
Meriones_vinogradovi
Meriones_arimalius
Meriones_dahli
Meriones_tristrami
Meriones_persicus
Meriones_rex
Brachiones_przewalskii
Sekeetamys_calurus
Psammomys_obesus
Psammomys_vexillaris
Rhombomys_opimus
Taterillus_lacustris
Taterillus_gracilis
Taterillus_emini
Taterillus_arenarius
