sp,guild,Mass,ActivityCycle,AdultHeadBodyLen_mm,LitterSize
Rhynchocyon_cirnei,Insectivore,490,diurnal,NA,1.93
Rhynchocyon_udzungwensis,Insectivore,750,NA,NA,NA
Rusa_unicolor,Herbivore,211620,transition,2040,1
Sciurus_granatensis,Herbivore,250,diurnal,221.71,1.9
Sciurus_spadiceus,Herbivore,403,diurnal,NA,NA
Setifer_setosus,Insectivore,213,nocturnal,185,3.24
Sundasciurus_hippurus,Herbivore,500,NA,227.98,NA
Sus_scrofa,Omnivore,117286,transition,1349.99,4.52
Syncerus_caffer,Herbivore,580003,transition,2525.86,1.08
Tamandua_mexicana,Insectivore,4210,transition,NA,NA
Tamandua_tetradactyla,Insectivore,5515,transition,559.33,1
Tapirus_bairdii,Herbivore,225000,transition,2199.99,1
Tapirus_indicus,Herbivore,296250,nocturnal,2224.85,1
Tapirus_terrestris,Herbivore,207501,transition,2004.97,1
Tenrec_ecaudatus,Omnivore,868,transition,327.5,16.89
Thryonomys_gregorianus,Herbivore,2707,nocturnal,NA,2.91
Thryonomys_swinderianus,Herbivore,4060,nocturnal,NA,3.88
Tragelaphus_scriptus,Herbivore,43250,transition,1247.1,1
Tragelaphus_spekii,Herbivore,77999,transition,1520.84,1
Tragulus_kanchil,Herbivore,2000,NA,NA,NA
Tremarctos_ornatus,Omnivore,140001,transition,1766.58,1.44
Tupaia_glis,Omnivore,159,diurnal,185,2.22
Viverra_zibetha,Omnivore,9000,nocturnal,816.76,2.89
