"","model","formula","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","ext(Int)","SEext(Int)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1","~Elevation ~ Biotic ~ 1 ~ Biotic",0.0586785429397492,0.823671211834157,0.007297111152143,1.09816867454124,NA,NA,NA,NA,NA,NA,3.73437291043954,12.8771414266286,1.10749866623922,0.596180884970511,-2.62413595429718,0.671490152172731,NA,NA,NA,NA,NA,NA,1.89520719709787,3.25883352629777,-3.61666599593775,2.84367791643971,0,3168.97152263584,64.142265010321,7,60,142.284530020642,0,0.207025497821658,NA,0.207025497821658
"6","6","~Elevation^2 ~ Biotic ~ 1 ~ Biotic",0.0586785429397492,0.823671211834157,0.007297111152143,1.09816867454124,NA,NA,NA,NA,NA,NA,3.73437291043954,12.8771414266286,1.10749866623922,0.596180884970511,-2.62413595429718,0.671490152172731,NA,NA,NA,NA,NA,NA,1.89520719709787,3.25883352629777,-3.61666599593775,2.84367791643971,0,3168.97152263584,64.142265010321,7,60,142.284530020642,0,0.207025497821658,NA,0.414050995643315
"2","2","~Elevation ~ Biotic + Tmin ~ 1 ~ Biotic + Tmin",-0.258600653366094,0.806303647877895,-0.279195215544455,1.20108107360571,NA,NA,NA,NA,-1.0629350611071,0.64574227839601,3.85987985962505,12.8255109567386,1.15035357749188,0.621701025688613,-2.38583957246658,0.900191303910214,NA,NA,NA,NA,0.152366538777211,0.524734358757889,1.8926991881868,3.05718204678527,-3.61530203409142,2.70999643087439,0,3948.84653068129,62.5090032326197,9,60,143.018006465239,0.733476444597329,0.143466813158241,NA,0.557517808801556
"7","7","~Elevation^2 ~ Biotic + Tmin^2 ~ 1 ~ Biotic + Tmin^2",-0.258600653366094,0.806303647877895,-0.279195215544455,1.20108107360571,NA,NA,NA,NA,-1.0629350611071,0.64574227839601,3.85987985962505,12.8255109567386,1.15035357749188,0.621701025688613,-2.38583957246658,0.900191303910214,NA,NA,NA,NA,0.152366538777211,0.524734358757889,1.8926991881868,3.05718204678527,-3.61530203409142,2.70999643087439,0,3948.84653068129,62.5090032326197,9,60,143.018006465239,0.733476444597329,0.143466813158241,NA,0.700984621959797
"3","3","~1 ~ Tmax + Biotic ~ 1 ~ Tmax + Biotic",-0.81632446563007,1.85155664885824,2.25430244146438,3.86945957729897,NA,NA,-1.43496385901662,2.23499949654625,NA,NA,1.41119614735212,1.57132716405437,1.44146928546997,0.598026293848009,-3.16565758052245,0.503255464384961,NA,NA,-0.0516438253727753,0.443910481220473,NA,NA,NA,NA,-2.13131246123831,1.12026346794473,0,398.1461019072,64.0147610503433,8,60,144.029522100687,1.74499208004465,0.0865174323368919,NA,0.787502054296689
"8","8","~1 ~ Tmax^2 + Biotic ~ 1 ~ Tmax^2 + Biotic",-0.81632446563007,1.85155664885824,2.25430244146438,3.86945957729897,NA,NA,-1.43496385901662,2.23499949654625,NA,NA,1.41119614735212,1.57132716405437,1.44146928546997,0.598026293848009,-3.16565758052245,0.503255464384961,NA,NA,-0.0516438253727753,0.443910481220473,NA,NA,NA,NA,-2.13131246123831,1.12026346794473,0,398.1461019072,64.0147610503433,8,60,144.029522100687,1.74499208004465,0.0865174323368919,NA,0.874019486633581
"4","4","~Elevation ~ Tmax + Biotic ~ 1 ~ Tmax + Biotic",-0.76442670863531,2.00179965177596,2.35809168422987,5.18392259485538,NA,NA,-1.58504305775275,3.3037701078197,NA,NA,1.35346109166644,1.51286526930006,1.43786772437687,0.68669925481594,-3.17887118129975,0.5383341346299,NA,NA,-0.0466598409940476,0.506642718735764,NA,NA,2.14048573418346,3.12220363669238,-3.39335147320171,2.73334871810535,0,794.246661000623,63.5661997586769,9,60,145.132399517354,2.84786949671184,0.0498444529407395,NA,0.923863939574321
"9","9","~Elevation^2 ~ Tmax^2 + Biotic ~ 1 ~ Tmax^2 + Biotic",-0.76442670863531,2.00179965177596,2.35809168422987,5.18392259485538,NA,NA,-1.58504305775275,3.3037701078197,NA,NA,1.35346109166644,1.51286526930006,1.43786772437687,0.68669925481594,-3.17887118129975,0.5383341346299,NA,NA,-0.0466598409940476,0.506642718735764,NA,NA,2.14048573418346,3.12220363669238,-3.39335147320171,2.73334871810535,0,794.246661000623,63.5661997586769,9,60,145.132399517354,2.84786949671184,0.0498444529407395,NA,0.97370839251506
"5","5","~Elevation ~ Tmax * Biotic ~ 1 ~ Tmax * Biotic",1.12783236609986,1.31777494961568,-1.33486053618306,1.21315175245746,-1.46111481824686,1.04647167402156,0.419234567980874,0.767511000284334,NA,NA,3.93104460563796,14.1432444967841,0.724188126515528,0.753494388297014,-1.89756968777991,0.891535799850299,0.875044613943081,1.31514488699703,-0.409656330681013,1.16990046862468,NA,NA,1.81282639937535,3.15883119379905,-4.07307881356074,2.78886091513853,0,3751.80054425502,62.2058571926613,11,60,146.411714385323,4.12718436468055,0.0262916074849399,NA,1
