"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"51","51","~Elevation^2 ~ Tmax^2 ~ Tmax^2 ~ Tmax^2",NA,NA,NA,NA,-1.85697457607701,0.406961378546357,NA,NA,0.716112058116935,0.407375718458647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.227745619718527,0.738602313579316,1.81324338598494,1.38758743897512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.41536341537819,0.277576444764732,NA,NA,0.933907874726226,0.407747058508414,NA,NA,NA,NA,NA,NA,10.6475152138516,6.16967676270192,-12.6855516560732,6.92737346516215,0,1944.3241561424,125.464190243784,8,60,266.928380487567,2.44237112045784,0.0362360995934932,NA,0.589966462912259
"22","22","~1 ~ 1 ~ Biotic ~ Biotic",NA,NA,NA,NA,-1.74282478405753,0.376336921575935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.72446923419977,5.35878345704396,5.81595187311743,4.49029648182062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59519853329563,0.37077773037056,-1.13775946081596,0.383751482955235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.19215405074041,0.629536489866109,0,1511.78008120877,127.784804690101,6,60,267.569609380202,3.08360001309251,0.0262966459847469,NA,0.616263108897006
"13","13","~Elevation ~ 1 ~ Tmax ~ Tmax",NA,NA,NA,NA,-1.49200265807093,0.428187971878095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0955354374815533,0.748856101683499,-0.60826365191902,1.84734822893981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.38100314320416,0.291942498792683,NA,NA,0.600395550710538,0.46503634919923,NA,NA,NA,NA,NA,NA,9.1022078102039,7.06905582986091,-10.9413768996403,7.54723227400067,0,2428.22346438752,126.943737196109,7,60,267.887474392219,3.40146502510953,0.0224324572830765,NA,0.638695566180083
"53","53","~Elevation^2 ~ 1 ~ Tmax^2 ~ Tmax^2",NA,NA,NA,NA,-1.49200265807093,0.428187971878095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0955354374815533,0.748856101683499,-0.60826365191902,1.84734822893981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.38100314320416,0.291942498792683,NA,NA,0.600395550710538,0.46503634919923,NA,NA,NA,NA,NA,NA,9.1022078102039,7.06905582986091,-10.9413768996403,7.54723227400067,0,2428.22346438752,126.943737196109,7,60,267.887474392219,3.40146502510953,0.0224324572830765,NA,0.661128023463159
"20","20","~1 ~ Biotic ~ Biotic ~ Biotic",NA,NA,-0.686777645012345,0.568438395710071,-2.09118973056554,0.471429287620364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.12729251808759,5.6229861625792,5.42919426935602,4.60756719027392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.725246759247832,0.375818099004947,-1.02534573196687,0.365729310510574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.29943917227896,0.611356455877389,0,1744.55015832822,126.993034566472,7,60,267.986069132945,3.50005976583549,0.0213534117016993,NA,0.682481435164858
"5","5","~Elevation ~ Tmin ~ Tmin ~ Tmin",NA,NA,NA,NA,-1.68202535955629,0.430245319802116,NA,NA,NA,NA,-0.218165719933884,0.452083651521658,NA,NA,NA,NA,NA,NA,NA,NA,2.26838118882475,1.46413940715494,NA,NA,3.83828165122512,2.36788681590473,NA,NA,NA,NA,NA,NA,NA,NA,-1.48361785139985,0.313417218601726,NA,NA,NA,NA,0.0300614028664237,0.300900402693697,NA,NA,NA,NA,7.83393934280047,5.404666772443,-9.66586077983525,5.86567106661298,0,1788.58054400072,126.236629370774,8,60,268.473258741548,3.98724937443831,0.016736914369538,NA,0.699218349534396
"45","45","~Elevation^2 ~ Tmin^2 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,-1.68202535955629,0.430245319802116,NA,NA,NA,NA,-0.218165719933884,0.452083651521658,NA,NA,NA,NA,NA,NA,NA,NA,2.26838118882475,1.46413940715494,NA,NA,3.83828165122512,2.36788681590473,NA,NA,NA,NA,NA,NA,NA,NA,-1.48361785139985,0.313417218601726,NA,NA,NA,NA,0.0300614028664237,0.300900402693697,NA,NA,NA,NA,7.83393934280047,5.404666772443,-9.66586077983525,5.86567106661298,0,1788.58054400072,126.236629370774,8,60,268.473258741548,3.98724937443831,0.016736914369538,NA,0.715955263903934
"32","32","~1 ~ 1 ~ Tmax + Biotic ~ Tmax + Biotic",NA,NA,NA,NA,-1.65092369773287,0.380623339626086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.42919312582531,5.8696443471642,6.01139592045157,4.39912624503158,-3.34554954971381,2.51892145671108,NA,NA,NA,NA,NA,NA,NA,NA,0.540792450087532,0.372960593192621,-1.06831349521917,0.406159583045543,NA,NA,0.292344175810819,0.501881631327939,NA,NA,NA,NA,NA,NA,NA,NA,-1.25497787262818,0.611010333863959,0,1871.5066234284,126.340261822265,8,60,268.68052364453,4.19451427742092,0.0150892756522687,NA,0.731044539556203
"69","69","~1 ~ 1 ~ Tmax^2 + Biotic ~ Tmax^2 + Biotic",NA,NA,NA,NA,-1.65092369773287,0.380623339626086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.42919312582531,5.8696443471642,6.01139592045157,4.39912624503158,-3.34554954971381,2.51892145671108,NA,NA,NA,NA,NA,NA,NA,NA,0.540792450087532,0.372960593192621,-1.06831349521917,0.406159583045543,NA,NA,0.292344175810819,0.501881631327939,NA,NA,NA,NA,NA,NA,NA,NA,-1.25497787262818,0.611010333863959,0,1871.5066234284,126.340261822265,8,60,268.68052364453,4.19451427742092,0.0150892756522687,NA,0.746133815208472
"18","18","~Elevation ~ Tvar ~ 1 ~ Tvar",NA,NA,NA,NA,-1.64377052330418,0.371611311737717,NA,NA,NA,NA,NA,NA,NA,NA,0.381811594748429,0.351674744208906,NA,NA,NA,NA,0.273402366118334,0.677433211816174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.42878211976068,0.296463689402181,NA,NA,NA,NA,NA,NA,NA,NA,-0.0351692751783135,0.255321254088792,6.68252225210159,4.33982378883968,-8.56745384080957,4.86107629276406,0,880.915043035822,127.582898068378,7,60,269.165796136757,4.67978676964748,0.0118383945364314,NA,0.757972209744903
