"","model","formula","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmin)","SEcol(Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tvar)","SEext(Tvar)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmin)","SEp(Tmin)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1","~1 ~ Biotic ~ 1 ~ Biotic",-3.62093975546617,4.72043068698296,-5.97199625991485,4.76969192651173,NA,NA,NA,NA,-3.91775855150867,6.10737703758679,NA,NA,-0.153221111952836,0.648532161097741,-2.94942892337636,0.429970867845999,NA,NA,NA,NA,NA,NA,-0.635923521160193,0.62735161877732,0,810.93545851169,77.7694951342597,6,60,167.538990268519,0,0.336215398902905,NA,0.336215398902905
"2","2","~Elevation ~ Biotic ~ Biotic ~ Biotic",-3.37526850346321,3.02066029004285,-5.81009904453126,3.56842494957556,NA,NA,-10.437805698224,9.96049634788884,-10.5178444654535,9.06558762015029,NA,NA,-0.864872084310074,0.7129780170279,-2.91572639220992,0.433815341302624,NA,NA,NA,NA,-0.221620534122467,1.87592886023806,-0.535809934435742,1.83705863658614,0,2852.73799955841,76.5849356759171,8,60,169.169871351834,1.63088108331488,0.148756610098108,NA,0.484972009001013
"6","6","~Elevation^2 ~ Biotic ~ Biotic ~ Biotic",-3.37526850346321,3.02066029004285,-5.81009904453126,3.56842494957556,NA,NA,-10.437805698224,9.96049634788884,-10.5178444654535,9.06558762015029,NA,NA,-0.864872084310074,0.7129780170279,-2.91572639220992,0.433815341302624,NA,NA,NA,NA,-0.221620534122467,1.87592886023806,-0.535809934435742,1.83705863658614,0,2852.73799955841,76.5849356759171,8,60,169.169871351834,1.63088108331488,0.148756610098108,NA,0.633728619099121
"3","3","~Elevation ~ Biotic ~ 1 ~ Biotic",-3.24487013301467,3.70207243454947,-5.72747342564826,4.14526378521666,NA,NA,NA,NA,-3.66071086303006,4.74604904777982,NA,NA,-0.226339502276538,0.679848449475088,-2.96518553044331,0.444797124733739,NA,NA,NA,NA,-0.491258250838824,2.06252855175502,-0.157652862879496,2.12801734552269,0,562.716047807989,77.7411343205136,7,60,169.482268641027,1.94327837250779,0.127244805894071,NA,0.760973424993192
"7","7","~Elevation^2 ~ Biotic ~ 1 ~ Biotic",-3.24487013301467,3.70207243454947,-5.72747342564826,4.14526378521666,NA,NA,NA,NA,-3.66071086303006,4.74604904777982,NA,NA,-0.226339502276538,0.679848449475088,-2.96518553044331,0.444797124733739,NA,NA,NA,NA,-0.491258250838824,2.06252855175502,-0.157652862879496,2.12801734552269,0,562.716047807989,77.7411343205136,7,60,169.482268641027,1.94327837250779,0.127244805894071,NA,0.888218230887263
"4","4","~1 ~ Biotic + Tmin ~ 1 ~ Biotic + Tmin",-4.01040173363676,5.11944594719246,-5.65663774444035,4.50005707854085,1.29966487462329,5.01912737940342,NA,NA,-3.58467450784734,4.74206837098656,NA,NA,-0.229394220611564,0.636956306673702,-2.93990214314612,0.444961597978705,0.0379318571524334,0.402182466763848,NA,NA,NA,NA,-0.619705705410135,0.640893825853534,0,1226.01210254171,77.7304569601221,8,60,171.460913920244,3.92192365172482,0.0473132411878229,NA,0.935531472075086
"8","8","~1 ~ Biotic + Tmin^2 ~ 1 ~ Biotic + Tmin^2",-4.01040173363676,5.11944594719246,-5.65663774444035,4.50005707854085,1.29966487462329,5.01912737940342,NA,NA,-3.58467450784734,4.74206837098656,NA,NA,-0.229394220611564,0.636956306673702,-2.93990214314612,0.444961597978705,0.0379318571524334,0.402182466763848,NA,NA,NA,NA,-0.619705705410135,0.640893825853534,0,1226.01210254171,77.7304569601221,8,60,171.460913920244,3.92192365172482,0.0473132411878229,NA,0.982844713262908
"5","5","~Elevation ~ 1 ~ Tvar + Biotic ~ Tvar + Biotic",NA,NA,-3.45916106210849,3.58359867521455,NA,NA,1.07438751862021,4.00990360099235,-4.00932932539448,4.81391840696714,1.12537690754655,1.68986937169512,-0.563734098262476,0.739764187781505,-3.12950869324292,0.533125191050467,NA,NA,-0.0317118309500674,0.276449542781559,-1.00744792214478,2.6420685845159,0.527362645030262,2.46777627815627,0,600.388118079223,78.4380879468882,9,60,174.876175893776,7.33718562525701,0.00857764336854577,NA,0.991422356631454
"9","9","~Elevation^2 ~ 1 ~ Tvar^2 + Biotic ~ Tvar^2 + Biotic",NA,NA,-3.45916106210849,3.58359867521455,NA,NA,1.07438751862021,4.00990360099235,-4.00932932539448,4.81391840696714,1.12537690754655,1.68986937169512,-0.563734098262476,0.739764187781505,-3.12950869324292,0.533125191050467,NA,NA,-0.0317118309500674,0.276449542781559,-1.00744792214478,2.6420685845159,0.527362645030262,2.46777627815627,0,600.388118079223,78.4380879468882,9,60,174.876175893776,7.33718562525701,0.00857764336854577,NA,1
