"","model","formula","col(Int)","SEcol(Int)","col(Tmin)","SEcol(Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmin)","SEp(Tmin)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"3","3","~Elevation ~ Tmin ~ 1 ~ Tmin",-2.95859858210792,0.975347264192381,-2.26418765068435,1.17789530587341,NA,NA,-1.88072146598642,2.2607826944135,NA,NA,-1.81571634972379,0.670761119074038,-0.192434024501461,0.417484527403985,3.48203074546411,4.06692015095148,-1.989781248382,1.90662804300066,0,769.023728226375,89.9718998613449,7,61,193.94379972269,0,0.276117721053946,NA,0.276117721053946
"6","6","~Elevation^2 ~ Tmin^2 ~ 1 ~ Tmin^2",-2.95859858210792,0.975347264192381,-2.26418765068435,1.17789530587341,NA,NA,-1.88072146598642,2.2607826944135,NA,NA,-1.81571634972379,0.670761119074038,-0.192434024501461,0.417484527403985,3.48203074546411,4.06692015095148,-1.989781248382,1.90662804300066,0,769.023728226375,89.9718998613449,7,61,193.94379972269,0,0.276117721053946,NA,0.552235442107892
"2","2","~1 ~ Tmin ~ 1 ~ Tmin",-5.06584326553664,3.39652134731935,-4.25584296261495,3.18178492143391,NA,NA,-2.20547347274486,2.20063030889179,NA,NA,-2.1560182734629,0.617037223439265,-0.485613588079532,0.452739289587097,NA,NA,-1.049747446616,0.681786494904119,0,856.85735469687,91.2014665735544,6,61,194.402933147109,0.459133424418951,0.219479884979014,NA,0.771715327086906
"5","5","~1 ~ Tmin^2 ~ 1 ~ Tmin^2",-5.06584326553664,3.39652134731935,-4.25584296261495,3.18178492143391,NA,NA,-2.20547347274486,2.20063030889179,NA,NA,-2.1560182734629,0.617037223439265,-0.485613588079532,0.452739289587097,NA,NA,-1.049747446616,0.681786494904119,0,856.85735469687,91.2014665735544,6,61,194.402933147109,0.459133424418951,0.219479884979014,NA,0.991195212065919
"1","1","~1 ~ 1 ~ 1 ~ 1",-2.87757017483474,0.95583655659183,NA,NA,NA,NA,-3.30927292079912,3.15364279621169,NA,NA,-1.76674706580609,0.32230307660887,NA,NA,NA,NA,-1.0144424704277,0.723913600757457,0,180.068662226685,96.6539757820758,4,61,201.307951564152,7.36415184146176,0.00695006755454498,NA,0.998145279620464
"4","4","~1 ~ 1 ~ Biotic ~ Biotic",-2.75558607383958,0.822981901321242,NA,NA,-0.49808640527744,2.8439789080882,-3.44277338129555,3.54285093222009,0.398825927844702,0.369765721654787,-1.74982599102426,0.318902159027326,NA,NA,NA,NA,-1.1327181729904,0.726889980211746,0,235.485311739145,95.9749932157813,6,61,203.949986431563,10.0061867088728,0.00185472037953565,NA,1
