"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"17","17","~1 ~ 1 ~ Biotic ~ Biotic",NA,NA,NA,NA,-1.17698281405164,0.327628784067912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0599157706726863,0.382258352802691,-0.616987663744737,0.274575783676222,NA,NA,NA,NA,NA,NA,NA,NA,-0.298113122777668,0.161983874883537,-0.73699513743766,0.122120703835578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33183744215494,1.31214386569448,0,157.748586574176,383.70460680473,6,60,779.40921360946,3.63636626360744,0.0231881861122532,NA,0.664628067705477
"31","31","~Elevation ~ 1 ~ Biotic * Tmin ~ Biotic * Tmin",NA,NA,NA,NA,-1.2852429878947,0.351502312213452,NA,NA,NA,NA,NA,NA,NA,NA,1.57004064171775,1.08753645222517,-0.799643590172296,0.625572972626109,-0.493370351464753,0.448598376801591,-0.55570629102486,0.654779239194703,NA,NA,NA,NA,-0.596507085665038,0.335386838869522,-0.0315028094797246,0.216159864699609,-0.563426123632521,0.167745136112979,NA,NA,-0.42488969382229,0.257845098820596,NA,NA,NA,NA,-4.18952213406487,3.19117456466814,-1.06619099655807,1.97988021403114,0,1696.25585594958,378.962257592625,11,60,779.924515185251,4.15166783939821,0.0179213392875266,NA,0.682549406993004
"68","68","~Elevation^2 ~ 1 ~ Biotic * Tmin^2 ~ Biotic * Tmin^2",NA,NA,NA,NA,-1.2852429878947,0.351502312213452,NA,NA,NA,NA,NA,NA,NA,NA,1.57004064171775,1.08753645222517,-0.799643590172296,0.625572972626109,-0.493370351464753,0.448598376801591,-0.55570629102486,0.654779239194703,NA,NA,NA,NA,-0.596507085665038,0.335386838869522,-0.0315028094797246,0.216159864699609,-0.563426123632521,0.167745136112979,NA,NA,-0.42488969382229,0.257845098820596,NA,NA,NA,NA,-4.18952213406487,3.19117456466814,-1.06619099655807,1.97988021403114,0,1696.25585594958,378.962257592625,11,60,779.924515185251,4.15166783939821,0.0179213392875266,NA,0.700470746280531
"19","19","~Elevation ~ Biotic ~ 1 ~ Biotic",NA,NA,-0.316323971979115,0.470789618292748,-1.27224946434468,0.338700744422782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.641906280315693,0.267496465841107,NA,NA,NA,NA,NA,NA,NA,NA,-0.265337660347819,0.157099325200509,-0.716199059653908,0.121894712825198,NA,NA,NA,NA,NA,NA,NA,NA,-4.47297680623066,4.06026782038012,-0.970428219639306,2.2299298043409,0,1860.99212794323,382.97409072508,7,60,779.948181450159,4.17533410430667,0.0177105234716332,NA,0.718181269752164
"56","56","~Elevation^2 ~ Biotic ~ 1 ~ Biotic",NA,NA,-0.316323971979115,0.470789618292748,-1.27224946434468,0.338700744422782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.641906280315693,0.267496465841107,NA,NA,NA,NA,NA,NA,NA,NA,-0.265337660347819,0.157099325200509,-0.716199059653908,0.121894712825198,NA,NA,NA,NA,NA,NA,NA,NA,-4.47297680623066,4.06026782038012,-0.970428219639306,2.2299298043409,0,1860.99212794323,382.97409072508,7,60,779.948181450159,4.17533410430667,0.0177105234716332,NA,0.735891793223797
"15","15","~1 ~ Biotic ~ Biotic ~ Biotic",NA,NA,-0.414748920911195,0.527856703633227,-1.27718574946799,0.361785569420609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.14621725636894,0.390486884290414,-0.647537953240418,0.277586443891382,NA,NA,NA,NA,NA,NA,NA,NA,-0.299478418858575,0.16115148787878,-0.736154103025152,0.121721501245021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38968373120207,1.336984871933,0,163.814522622227,383.383918815298,7,60,780.767837630597,4.99499028474429,0.0117556140633392,NA,0.747647407287136
"4","4","~1 ~ 1 ~ Tmin ~ Tmin",NA,NA,NA,NA,-1.20644356340259,0.331262879059693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.228266167235276,0.382694727010482,-0.77556704658617,0.613428710295284,NA,NA,NA,NA,NA,NA,NA,NA,-0.619000028084303,0.167309788153613,NA,NA,-0.111251411883573,0.236046112096712,NA,NA,NA,NA,NA,NA,2.10967866729483,1.1711602860838,0,155.779198216453,384.583720565254,6,60,781.167441130509,5.39459378465631,0.00962659103790372,NA,0.75727399832504
"44","44","~1 ~ 1 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,-1.20644356340259,0.331262879059693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.228266167235276,0.382694727010482,-0.77556704658617,0.613428710295284,NA,NA,NA,NA,NA,NA,NA,NA,-0.619000028084303,0.167309788153613,NA,NA,-0.111251411883573,0.236046112096712,NA,NA,NA,NA,NA,NA,2.10967866729483,1.1711602860838,0,155.779198216453,384.583720565254,6,60,781.167441130509,5.39459378465631,0.00962659103790372,NA,0.766900589362944
"22","22","~1 ~ 1 ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,NA,NA,-1.1833106211662,0.335124834750923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.103902652699046,0.405997300330287,-0.296919939242289,0.38952091787654,-0.737684143251736,0.61045862686009,NA,NA,NA,NA,NA,NA,-0.316963647932762,0.166291379284991,-0.64652246082161,0.165664461623959,NA,NA,-0.190133432356798,0.23994791563284,NA,NA,NA,NA,NA,NA,2.35776414554523,1.31921984754117,0,206.523664983621,382.699448496445,8,60,781.39889699289,5.62604964703712,0.00857457336071545,NA,0.775475162723659
"59","59","~1 ~ 1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,NA,NA,-1.1833106211662,0.335124834750923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.103902652699046,0.405997300330287,-0.296919939242289,0.38952091787654,-0.737684143251736,0.61045862686009,NA,NA,NA,NA,NA,NA,-0.316963647932762,0.166291379284991,-0.64652246082161,0.165664461623959,NA,NA,-0.190133432356798,0.23994791563284,NA,NA,NA,NA,NA,NA,2.35776414554523,1.31921984754117,0,206.523664983621,382.699448496445,8,60,781.39889699289,5.62604964703712,0.00857457336071545,NA,0.784049736084375
