"","model","formula","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmin)","SEext(Tmin)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"10","10","~Elevation ~ Tvar ~ Tvar ~ Tvar",NA,NA,-2.78628749190774,0.607694471153456,NA,NA,NA,NA,NA,NA,0.551578693129054,0.545249404180009,NA,NA,NA,NA,-5.06872350512919,3.6520475197911,NA,NA,2.94919102149051,2.297393672203,NA,NA,NA,NA,-1.79506471138408,0.280670357305359,NA,NA,NA,NA,NA,NA,0.0506313788662715,0.200172002407991,-10.3342660944319,6.92891625963935,-13.11094985488,8.64721749846778,0,4224.3390657468,92.8460462732397,8,61,201.692092546479,4.79113968913521,0.0172806705184622,NA,0.901692167945647
"30","30","~Elevation^2 ~ Tvar^2 ~ Tvar^2 ~ Tvar^2",NA,NA,-2.78628749190774,0.607694471153456,NA,NA,NA,NA,NA,NA,0.551578693129054,0.545249404180009,NA,NA,NA,NA,-5.06872350512919,3.6520475197911,NA,NA,2.94919102149051,2.297393672203,NA,NA,NA,NA,-1.79506471138408,0.280670357305359,NA,NA,NA,NA,NA,NA,0.0506313788662715,0.200172002407991,-10.3342660944319,6.92891625963935,-13.11094985488,8.64721749846778,0,4224.3390657468,92.8460462732397,8,61,201.692092546479,4.79113968913521,0.0172806705184622,NA,0.918972838464109
"21","21","~Elevation ~ Tvar + Biotic ~ 1 ~ Tvar + Biotic",5.46977485918016,3.16156442080268,-4.47202198209477,1.49496589441507,NA,NA,NA,NA,NA,NA,0.465312687333802,1.16805836845979,NA,NA,NA,NA,-1.82172438803141,1.57863490765443,NA,NA,NA,NA,NA,NA,0.265086355128573,0.274932433693197,-2.18272638360561,0.331820252393331,NA,NA,NA,NA,NA,NA,0.0506612497779068,0.196025107060068,-4.66623414917824,4.03671531214388,-5.93110765912715,4.57933650812691,0,1735.9673535702,92.1290162211224,9,61,202.258032442245,5.35707958490056,0.0130217185074776,NA,0.931994556971586
"41","41","~Elevation^2 ~ Tvar^2 + Biotic ~ 1 ~ Tvar^2 + Biotic",5.46977485918016,3.16156442080268,-4.47202198209477,1.49496589441507,NA,NA,NA,NA,NA,NA,0.465312687333802,1.16805836845979,NA,NA,NA,NA,-1.82172438803141,1.57863490765443,NA,NA,NA,NA,NA,NA,0.265086355128573,0.274932433693197,-2.18272638360561,0.331820252393331,NA,NA,NA,NA,NA,NA,0.0506612497779068,0.196025107060068,-4.66623414917824,4.03671531214388,-5.93110765912715,4.57933650812691,0,1735.9673535702,92.1290162211224,9,61,202.258032442245,5.35707958490056,0.0130217185074776,NA,0.945016275479064
"5","5","~1 ~ Tmax ~ 1 ~ Tmax",NA,NA,-3.64010229852875,1.88700897788009,1.29721123818411,1.00374119077875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.07519031347536,3.06993952236157,NA,NA,NA,NA,NA,NA,NA,NA,-2.49329803541731,0.374984039912502,0.73442140575349,0.280708050241991,NA,NA,NA,NA,NA,NA,NA,NA,-1.33683843823567,0.704088298254734,0,358.500930324777,95.6441064956984,6,61,203.288212991397,6.3872601340525,0.00777978220292804,NA,0.952796057681992
"25","25","~1 ~ Tmax^2 ~ 1 ~ Tmax^2",NA,NA,-3.64010229852875,1.88700897788009,1.29721123818411,1.00374119077875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.07519031347536,3.06993952236157,NA,NA,NA,NA,NA,NA,NA,NA,-2.49329803541731,0.374984039912502,0.73442140575349,0.280708050241991,NA,NA,NA,NA,NA,NA,NA,NA,-1.33683843823567,0.704088298254734,0,358.500930324777,95.6441064956984,6,61,203.288212991397,6.3872601340525,0.00777978220292804,NA,0.96057583988492
"11","11","~Elevation ~ Tvar ~ 1 ~ Tvar",NA,NA,-2.6267660626069,0.580560229327743,NA,NA,NA,NA,NA,NA,0.307682615998644,0.628101135778993,NA,NA,NA,NA,-1.73842763675555,1.1568864301053,NA,NA,NA,NA,NA,NA,NA,NA,-1.90093287736961,0.30201143703653,NA,NA,NA,NA,NA,NA,0.223157970401754,0.285520429916263,-11.511389723118,8.20721585291535,-14.3019167563971,10.0352455849914,0,3402.15316887804,94.7055341916471,7,61,203.411068383294,6.51011552595,0.00731627008857818,NA,0.967892109973498
"31","31","~Elevation^2 ~ Tvar^2 ~ 1 ~ Tvar^2",NA,NA,-2.6267660626069,0.580560229327743,NA,NA,NA,NA,NA,NA,0.307682615998644,0.628101135778993,NA,NA,NA,NA,-1.73842763675555,1.1568864301053,NA,NA,NA,NA,NA,NA,NA,NA,-1.90093287736961,0.30201143703653,NA,NA,NA,NA,NA,NA,0.223157970401754,0.285520429916263,-11.511389723118,8.20721585291535,-14.3019167563971,10.0352455849914,0,3402.15316887804,94.7055341916471,7,61,203.411068383294,6.51011552595,0.00731627008857818,NA,0.975208380062076
"17","17","~1 ~ Tmax + Biotic ~ 1 ~ Tmax + Biotic",2.14314606641101,1.19827224429453,-3.32861168786017,1.15250193396967,0.596005716624173,0.987276987744711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.96471261977418,1.67423828970827,NA,NA,NA,NA,NA,NA,0.273794803063119,0.312329141303633,-2.53109379061761,0.492727870282923,0.654224974732654,0.291395273326056,NA,NA,NA,NA,NA,NA,NA,NA,-1.4703621483719,0.740818344685778,0,156.908965124722,93.9555007831907,8,61,203.911001566381,7.01004870903716,0.00569810723593397,NA,0.98090648729801
"37","37","~1 ~ Tmax^2 + Biotic ~ 1 ~ Tmax^2 + Biotic",2.14314606641101,1.19827224429453,-3.32861168786017,1.15250193396967,0.596005716624173,0.987276987744711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.96471261977418,1.67423828970827,NA,NA,NA,NA,NA,NA,0.273794803063119,0.312329141303633,-2.53109379061761,0.492727870282923,0.654224974732654,0.291395273326056,NA,NA,NA,NA,NA,NA,NA,NA,-1.4703621483719,0.740818344685778,0,156.908965124722,93.9555007831907,8,61,203.911001566381,7.01004870903716,0.00569810723593397,NA,0.986604594533944
"19","19","~Elevation ~ Tvar * Biotic ~ 1 ~ Tvar * Biotic",4.84659610920759,2.82533011780167,-4.33819150444777,1.47249815659036,NA,NA,NA,NA,-1.1293813994749,1.45046378050899,0.626895907272388,0.990182973417727,NA,NA,NA,NA,-1.3491075796,1.06858234477563,NA,NA,NA,NA,NA,NA,0.404761383541157,0.321494670646131,-2.21561621658132,0.368064861368432,NA,NA,NA,NA,-0.24638870705032,0.233734851410388,0.261035709207908,0.275047790197373,-5.16882035558455,4.52016055339423,-6.32957469750436,5.05313088561616,0,2701.05476356304,91.366803151968,11,61,204.733606303936,7.83265344659176,0.00377662852507425,NA,0.990381223059019
"39","39","~Elevation^2 ~ Tvar^2 * Biotic ~ 1 ~ Tvar^2 * Biotic",4.84659610920759,2.82533011780167,-4.33819150444777,1.47249815659036,NA,NA,NA,NA,-1.1293813994749,1.45046378050899,0.626895907272388,0.990182973417727,NA,NA,NA,NA,-1.3491075796,1.06858234477563,NA,NA,NA,NA,NA,NA,0.404761383541157,0.321494670646131,-2.21561621658132,0.368064861368432,NA,NA,NA,NA,-0.24638870705032,0.233734851410388,0.261035709207908,0.275047790197373,-5.16882035558455,4.52016055339423,-6.32957469750436,5.05313088561616,0,2701.05476356304,91.366803151968,11,61,204.733606303936,7.83265344659176,0.00377662852507425,NA,0.994157851584093
"1","1","~1 ~ 1 ~ 1 ~ 1",NA,NA,-2.48138806221451,0.544148978762353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.57972743356982,1.28731625483883,NA,NA,NA,NA,NA,NA,NA,NA,-1.79621361370794,0.332493824563232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.86089343219558,0.777217611214923,0,25.9562778351541,99.7915934137286,4,61,207.583186827457,10.6822339701129,0.000908501650229884,NA,0.995066353234323
"9","9","~1 ~ 1 ~ Tvar ~ Tvar",NA,NA,-2.56553487241859,0.518527605341678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.76798896233298,3.7736397496756,NA,NA,2.85773953567751,2.43774409518722,NA,NA,NA,NA,-1.78029498810201,0.300722260145192,NA,NA,NA,NA,NA,NA,0.0385406799616263,0.204962642849629,NA,NA,-1.9207075482312,0.739864471027815,0,636.899303734325,97.8326676650296,6,61,207.665335330059,10.7643824727149,0.000871941603294147,NA,0.995938294837617
"29","29","~1 ~ 1 ~ Tvar^2 ~ Tvar^2",NA,NA,-2.56553487241859,0.518527605341678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.76798896233298,3.7736397496756,NA,NA,2.85773953567751,2.43774409518722,NA,NA,NA,NA,-1.78029498810201,0.300722260145192,NA,NA,NA,NA,NA,NA,0.0385406799616263,0.204962642849629,NA,NA,-1.9207075482312,0.739864471027815,0,636.899303734325,97.8326676650296,6,61,207.665335330059,10.7643824727149,0.000871941603294147,NA,0.996810236440911
"7","7","~1 ~ Tvar ~ Tvar ~ Tvar",NA,NA,-2.69188081346472,0.643168150268835,NA,NA,NA,NA,NA,NA,0.625741323076556,0.508779723497243,NA,NA,NA,NA,-4.79756391243782,3.60859838749973,NA,NA,2.85834690672787,2.2730377147747,NA,NA,NA,NA,-1.81897686260441,0.302722055184675,NA,NA,NA,NA,NA,NA,0.0605145996812368,0.203175020666808,NA,NA,-1.8611546626889,0.763571712553976,0,585.508201146243,97.3098046463373,7,61,208.619609292675,11.7186564353302,0.000541089917783455,NA,0.997351326358695
"27","27","~1 ~ Tvar^2 ~ Tvar^2 ~ Tvar^2",NA,NA,-2.69188081346472,0.643168150268835,NA,NA,NA,NA,NA,NA,0.625741323076556,0.508779723497243,NA,NA,NA,NA,-4.79756391243782,3.60859838749973,NA,NA,2.85834690672787,2.2730377147747,NA,NA,NA,NA,-1.81897686260441,0.302722055184675,NA,NA,NA,NA,NA,NA,0.0605145996812368,0.203175020666808,NA,NA,-1.8611546626889,0.763571712553976,0,585.508201146243,97.3098046463373,7,61,208.619609292675,11.7186564353302,0.000541089917783455,NA,0.997892416276478
"3","3","~1 ~ Tmin ~ 1 ~ Tmin",NA,NA,-2.92927861394918,0.885929468866741,NA,NA,0.904090269460499,0.821974771640671,NA,NA,NA,NA,NA,NA,NA,NA,-2.01504794690816,1.5253866305258,NA,NA,NA,NA,NA,NA,NA,NA,-1.91918505167542,0.369103386781703,NA,NA,-0.0164219117384569,0.360169994517351,NA,NA,NA,NA,NA,NA,-1.78950051171892,0.742040707000792,0,54.4554173060066,98.9842743402749,6,61,209.96854868055,13.0675958232054,0.000275645543515966,NA,0.998168061819994
"23","23","~1 ~ Tmin^2 ~ 1 ~ Tmin^2",NA,NA,-2.92927861394918,0.885929468866741,NA,NA,0.904090269460499,0.821974771640671,NA,NA,NA,NA,NA,NA,NA,NA,-2.01504794690816,1.5253866305258,NA,NA,NA,NA,NA,NA,NA,NA,-1.91918505167542,0.369103386781703,NA,NA,-0.0164219117384569,0.360169994517351,NA,NA,NA,NA,NA,NA,-1.78950051171892,0.742040707000792,0,54.4554173060066,98.9842743402749,6,61,209.96854868055,13.0675958232054,0.000275645543515966,NA,0.99844370736351
"20","20","~1 ~ 1 ~ Tvar + Biotic ~ Tvar + Biotic",NA,NA,-2.55008891200518,0.529660353829518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.952431376759,2.2891513222578,-3.56467045333686,2.85766457349345,NA,NA,3.1345044328598,2.85901583376359,NA,NA,0.105932425157554,0.336349045376219,-1.85175654290121,0.46777388929794,NA,NA,NA,NA,NA,NA,0.0330104953413943,0.21137747887342,NA,NA,-1.85963272240128,0.760151021280538,0,679.79300366132,97.2626558531027,8,61,210.525311706205,13.6243588488611,0.000208665870075265,NA,0.998652373233585
"40","40","~1 ~ 1 ~ Tvar^2 + Biotic ~ Tvar^2 + Biotic",NA,NA,-2.55008891200518,0.529660353829518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.952431376759,2.2891513222578,-3.56467045333686,2.85766457349345,NA,NA,3.1345044328598,2.85901583376359,NA,NA,0.105932425157554,0.336349045376219,-1.85175654290121,0.46777388929794,NA,NA,NA,NA,NA,NA,0.0330104953413943,0.21137747887342,NA,NA,-1.85963272240128,0.760151021280538,0,679.79300366132,97.2626558531027,8,61,210.525311706205,13.6243588488611,0.000208665870075265,NA,0.99886103910366
"8","8","~1 ~ Tvar ~ 1 ~ Tvar",NA,NA,-2.5102181830386,0.605996454283467,NA,NA,NA,NA,NA,NA,0.378574132125164,0.538444015152986,NA,NA,NA,NA,-1.7330190142573,1.30685066825854,NA,NA,NA,NA,NA,NA,NA,NA,-1.90714322963287,0.331180043931828,NA,NA,NA,NA,NA,NA,0.219846791690874,0.283356037056549,NA,NA,-1.83047426089868,0.778787551822274,0,35.5918424112402,99.2783625659242,6,61,210.556725131848,13.6557722745042,0.000205414019968784,NA,0.999066453123629
"28","28","~1 ~ Tvar^2 ~ 1 ~ Tvar^2",NA,NA,-2.5102181830386,0.605996454283467,NA,NA,NA,NA,NA,NA,0.378574132125164,0.538444015152986,NA,NA,NA,NA,-1.7330190142573,1.30685066825854,NA,NA,NA,NA,NA,NA,NA,NA,-1.90714322963287,0.331180043931828,NA,NA,NA,NA,NA,NA,0.219846791690874,0.283356037056549,NA,NA,-1.83047426089868,0.778787551822274,0,35.5918424112402,99.2783625659242,6,61,210.556725131848,13.6557722745042,0.000205414019968784,NA,0.999271867143598
"4","4","~1 ~ 1 ~ Tmin ~ Tmin",NA,NA,-2.53407587936703,0.56377540485927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.54803798877825,1.31547895411752,-0.8503088827484,1.65198105921827,NA,NA,NA,NA,NA,NA,-1.78724030984174,0.387598502767858,NA,NA,-0.119492361362878,0.366760030462806,NA,NA,NA,NA,NA,NA,-1.80295083405192,0.788872491022211,0,63.1895349389716,99.5333736090182,6,61,211.066747218036,14.1657943606921,0.000159176955170538,NA,0.999431044098768
"24","24","~1 ~ 1 ~ Tmin^2 ~ Tmin^2",NA,NA,-2.53407587936703,0.56377540485927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.54803798877825,1.31547895411752,-0.8503088827484,1.65198105921827,NA,NA,NA,NA,NA,NA,-1.78724030984174,0.387598502767858,NA,NA,-0.119492361362878,0.366760030462806,NA,NA,NA,NA,NA,NA,-1.80295083405192,0.788872491022211,0,63.1895349389716,99.5333736090182,6,61,211.066747218036,14.1657943606921,0.000159176955170538,NA,0.999590221053939
"2","2","~1 ~ Tmin ~ Tmin ~ Tmin",NA,NA,-2.92009050564168,0.893111224988442,NA,NA,0.86651864186026,0.840608253852265,NA,NA,NA,NA,NA,NA,NA,NA,-1.99280924500361,1.55944287703027,-0.446418822885073,1.96327243128183,NA,NA,NA,NA,NA,NA,-1.93118554227789,0.376611007074758,NA,NA,-0.0169948988463881,0.356851285968191,NA,NA,NA,NA,NA,NA,-1.77167589268667,0.754985171903773,0,85.3353733503481,98.9523463524364,7,61,211.904692704873,15.0037398475285,0.000104694204772886,NA,0.999694915258712
"22","22","~1 ~ Tmin^2 ~ Tmin^2 ~ Tmin^2",NA,NA,-2.92009050564168,0.893111224988442,NA,NA,0.86651864186026,0.840608253852265,NA,NA,NA,NA,NA,NA,NA,NA,-1.99280924500361,1.55944287703027,-0.446418822885073,1.96327243128183,NA,NA,NA,NA,NA,NA,-1.93118554227789,0.376611007074758,NA,NA,-0.0169948988463881,0.356851285968191,NA,NA,NA,NA,NA,NA,-1.77167589268667,0.754985171903773,0,85.3353733503481,98.9523463524364,7,61,211.904692704873,15.0037398475285,0.000104694204772886,NA,0.999799609463485
"16","16","~1 ~ 1 ~ Biotic * Tmin ~ Biotic * Tmin",NA,NA,-1.41014384970288,0.768084703312895,NA,NA,NA,NA,NA,NA,NA,NA,1.18783184561704,1.64198957819323,-0.607485733925644,2.09908845024474,-0.136727474598632,1.36213788844758,-0.848449356940979,1.29608809320932,NA,NA,-1.3395887442451,0.596099182663317,1.48064461323458,0.589370651808995,-2.87012519108233,0.588045832356806,NA,NA,0.805908164881178,0.535988394284248,NA,NA,NA,NA,NA,NA,-1.34179941653142,0.990801036851972,0,271.321951901382,96.4216572726956,10,61,212.843314545391,15.942361688047,6.54792203210646e-05,NA,0.999865088683806
"36","36","~1 ~ 1 ~ Biotic * Tmin^2 ~ Biotic * Tmin^2",NA,NA,-1.41014384970288,0.768084703312895,NA,NA,NA,NA,NA,NA,NA,NA,1.18783184561704,1.64198957819323,-0.607485733925644,2.09908845024474,-0.136727474598632,1.36213788844758,-0.848449356940979,1.29608809320932,NA,NA,-1.3395887442451,0.596099182663317,1.48064461323458,0.589370651808995,-2.87012519108233,0.588045832356806,NA,NA,0.805908164881178,0.535988394284248,NA,NA,NA,NA,NA,NA,-1.34179941653142,0.990801036851972,0,271.321951901382,96.4216572726956,10,61,212.843314545391,15.942361688047,6.54792203210646e-05,NA,0.999930567904127
"14","14","~1 ~ 1 ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,-2.40828047197478,0.636100064487041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0619145252730814,1.76514551224145,-1.36657496334797,1.67775604858242,-0.933295904897108,1.55483106433347,NA,NA,NA,NA,0.305552006070175,0.386348824661151,-2.05350054441108,0.491036509511226,NA,NA,-0.0781362284234306,0.375011273647509,NA,NA,NA,NA,NA,NA,-1.69589079984791,0.840276005231891,0,156.707732236957,99.056188061395,8,61,214.11237612279,17.2114232654457,3.47160479365709e-05,NA,0.999965283952064
"34","34","~1 ~ 1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,-2.40828047197478,0.636100064487041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0619145252730814,1.76514551224145,-1.36657496334797,1.67775604858242,-0.933295904897108,1.55483106433347,NA,NA,NA,NA,0.305552006070175,0.386348824661151,-2.05350054441108,0.491036509511226,NA,NA,-0.0781362284234306,0.375011273647509,NA,NA,NA,NA,NA,NA,-1.69589079984791,0.840276005231891,0,156.707732236957,99.056188061395,8,61,214.11237612279,17.2114232654457,3.47160479365709e-05,NA,1
