"","model","formula","col(ForestLossCT)","SEcol(ForestLossCT)","col(Int)","SEcol(Int)","ext(Int)","SEext(Int)","ext(Tmin)","SEext(Tmin)","p(ForestLossCT)","SEp(ForestLossCT)","p(Int)","SEp(Int)","p(Tmin)","SEp(Tmin)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1","~1 ~ 1 ~ 1 ~ 1",NA,NA,-7.91054894502553,35.676179226356,-0.183212562178388,1.70475030019657,NA,NA,NA,NA,-5.24074576622354,1.33340869477713,NA,NA,4.68438120101529,43.9434088635936,0,2424.8837638871,6.88000691774668,4,61,21.7600138354934,0,0.577506375271237,NA,0.577506375271237
"2","2","~1 ~ 1 ~ Tmin ~ Tmin",NA,NA,-8.22566165712723,36.4252176973643,0.624703661628495,3.20281862828594,-0.955661916040306,4.84910570049331,NA,NA,-5.8331560758385,2.08440157625387,1.60656308069054,2.22271261751825,5.24469526169267,43.8025878469815,0,4233.11839965817,6.10225732529019,6,61,24.2045146505804,2.44450081508702,0.170114046556889,NA,0.747620421828126
"3","3","~1 ~ 1 ~ Tmin^2 ~ Tmin^2",NA,NA,-8.22566165712723,36.4252176973643,0.624703661628495,3.20281862828594,-0.955661916040306,4.84910570049331,NA,NA,-5.8331560758385,2.08440157625387,1.60656308069054,2.22271261751825,5.24469526169267,43.8025878469815,0,4233.11839965817,6.10225732529019,6,61,24.2045146505804,2.44450081508702,0.170114046556889,NA,0.917734468385014
"4","4","~1 ~ ForestLossCT ~ 1 ~ ForestLossCT",-0.258164067367002,43.6099022478138,-7.88924561054946,36.0084818357334,-0.19547830781986,1.70717139285651,NA,NA,0.386194902289305,1.1207044097392,-5.27920145614643,1.36010347064116,NA,NA,4.65535256499345,44.2468942144636,0,2628.21663127245,6.82877419346911,6,61,25.6575483869382,3.89753455144486,0.0822655316149859,NA,1
