"","model","formula","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"23","23","~1 ~ Biotic + Tmin ~ 1 ~ Biotic + Tmin",1.86420722655133,2.10882175257268,1.44904669257657,1.76329279380794,-0.76376056562175,1.3128714627593,NA,NA,NA,NA,NA,NA,NA,NA,-1.28702989039871,0.558402340415209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0604163685789355,0.137098119226688,-1.07756910575197,0.159132121940246,NA,NA,NA,NA,-0.463481912175574,0.167029525733475,NA,NA,NA,NA,NA,NA,0.15091569922917,0.548386533500297,0,432.785975525365,228.99817607167,8,60,473.99635214334,3.03179588497551,0.0253091654769513,NA,0.706437740934663
"59","59","~1 ~ Biotic + Tmin^2 ~ 1 ~ Biotic + Tmin^2",1.86420722655133,2.10882175257268,1.44904669257657,1.76329279380794,-0.76376056562175,1.3128714627593,NA,NA,NA,NA,NA,NA,NA,NA,-1.28702989039871,0.558402340415209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0604163685789355,0.137098119226688,-1.07756910575197,0.159132121940246,NA,NA,NA,NA,-0.463481912175574,0.167029525733475,NA,NA,NA,NA,NA,NA,0.15091569922917,0.548386533500297,0,432.785975525365,228.99817607167,8,60,473.99635214334,3.03179588497551,0.0253091654769513,NA,0.731746906411614
"1","1","~1 ~ 1 ~ 1 ~ 1",NA,NA,0.183703593548155,0.725388805929161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.25502661081868,0.6375871772752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.08404057862249,0.171968006641349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.090161402887971,0.540707309273758,0,34.0131945933767,233.074539083448,4,60,474.149078166896,3.18452190853196,0.0234484311366728,NA,0.755195337548287
"24","24","~1 ~ 1 ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,0.616465476710985,0.915851419165472,NA,NA,NA,NA,NA,NA,NA,NA,-0.138892265225377,0.622864896590732,-1.27927400164427,0.589548098345154,NA,NA,NA,NA,-0.470378892812971,0.728551572362845,NA,NA,NA,NA,NA,NA,0.0991341557201627,0.149515954034247,-1.07130779484846,0.165469233126516,NA,NA,NA,NA,-0.440929828143806,0.169162107654837,NA,NA,NA,NA,NA,NA,0.0760904735732428,0.52397551886273,0,63.5561541275002,229.11954383816,8,60,474.23908767632,3.27453141795593,0.0224165345351773,NA,0.777611872083464
"60","60","~1 ~ 1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,0.616465476710985,0.915851419165472,NA,NA,NA,NA,NA,NA,NA,NA,-0.138892265225377,0.622864896590732,-1.27927400164427,0.589548098345154,NA,NA,NA,NA,-0.470378892812971,0.728551572362845,NA,NA,NA,NA,NA,NA,0.0991341557201627,0.149515954034247,-1.07130779484846,0.165469233126516,NA,NA,NA,NA,-0.440929828143806,0.169162107654837,NA,NA,NA,NA,NA,NA,0.0760904735732428,0.52397551886273,0,63.5561541275002,229.11954383816,8,60,474.23908767632,3.27453141795593,0.0224165345351773,NA,0.800028406618641
"5","5","~Elevation ~ Tmin ~ Tmin ~ Tmin",NA,NA,0.618060315647639,0.86285190468809,-0.330175499908573,0.717103024334786,NA,NA,NA,NA,NA,NA,NA,NA,-1.24353344523558,0.57626033563552,NA,NA,NA,NA,-0.528525085246826,0.67415176708464,NA,NA,NA,NA,NA,NA,NA,NA,-1.0596294293851,0.163719127888635,NA,NA,NA,NA,-0.43639169539452,0.166333076806954,NA,NA,NA,NA,0.201635971018393,0.506571307858152,0.0157556528410303,0.539714236566545,0,44.6374991589837,229.277271031011,8,60,474.554542062021,3.58998580365721,0.019145575462837,NA,0.819173982081478
"44","44","~Elevation^2 ~ Tmin^2 ~ Tmin^2 ~ Tmin^2",NA,NA,0.618060315647639,0.86285190468809,-0.330175499908573,0.717103024334786,NA,NA,NA,NA,NA,NA,NA,NA,-1.24353344523558,0.57626033563552,NA,NA,NA,NA,-0.528525085246826,0.67415176708464,NA,NA,NA,NA,NA,NA,NA,NA,-1.0596294293851,0.163719127888635,NA,NA,NA,NA,-0.43639169539452,0.166333076806954,NA,NA,NA,NA,0.201635971018393,0.506571307858152,0.0157556528410303,0.539714236566545,0,44.6374991589837,229.277271031011,8,60,474.554542062021,3.58998580365721,0.019145575462837,NA,0.838319557544315
"11","11","~1 ~ Tvar ~ 1 ~ Tvar",NA,NA,-0.516725058576162,1.19797711144479,NA,NA,NA,NA,-2.31404145951479,2.98946936691501,NA,NA,NA,NA,-1.79931369718527,0.811852991671088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.15278008101932,0.174950596944368,NA,NA,NA,NA,NA,NA,NA,NA,0.20185724856457,0.194254626157422,NA,NA,0.132492194844577,0.543435359132713,0,509.094987269893,231.856392903943,6,60,475.712785807886,4.7482295495218,0.0107289937129944,NA,0.84904855125731
"50","50","~1 ~ Tvar^2 ~ 1 ~ Tvar^2",NA,NA,-0.516725058576162,1.19797711144479,NA,NA,NA,NA,-2.31404145951479,2.98946936691501,NA,NA,NA,NA,-1.79931369718527,0.811852991671088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.15278008101932,0.174950596944368,NA,NA,NA,NA,NA,NA,NA,NA,0.20185724856457,0.194254626157422,NA,NA,0.132492194844577,0.543435359132713,0,509.094987269893,231.856392903943,6,60,475.712785807886,4.7482295495218,0.0107289937129944,NA,0.859777544970304
"26","26","~Elevation ~ Biotic + Tmin ~ 1 ~ Biotic + Tmin",1.87323230826886,2.20283013744845,1.56162703367783,1.91498116650736,-0.752271308801863,1.29237352076195,NA,NA,NA,NA,NA,NA,NA,NA,-1.2625555104947,0.557960867274896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0624566125539099,0.137598728308499,-1.07752798936191,0.159069239467641,NA,NA,NA,NA,-0.466572563684071,0.166843092522012,NA,NA,NA,NA,0.162156225389547,0.524103151208397,0.0963205193754367,0.571960355250131,0,486.991977369444,228.949803864052,9,60,475.899607728105,4.93505146974064,0.00977217253758789,NA,0.869549717507892
