"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar)","SEcol(Tvar)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"35","35","~Elevation ~ Tvar + Biotic ~ 1 ~ Tvar + Biotic",NA,NA,0.721555325927406,1.29864003736671,-1.68450499043543,1.74346525520096,NA,NA,NA,NA,1.48955220428691,1.59730075347947,NA,NA,0.911743951379084,1.07032138928234,NA,NA,NA,NA,NA,NA,NA,NA,0.494773345177079,0.382020099834553,-3.15564513841669,0.532490084569693,NA,NA,NA,NA,0.973497727737593,0.194878503916081,1.31110849492403,1.37733986803577,0.561379595907637,1.0370064281387,0,302.973751262056,84.550227992125,9,30,187.10045598425,1.95454442015503,0.0349528405415108,NA,0.804342056061171
"67","67","~Elevation^2 ~ Tvar^2 + Biotic ~ 1 ~ Tvar^2 + Biotic",NA,NA,0.721555325927406,1.29864003736671,-1.68450499043543,1.74346525520096,NA,NA,NA,NA,1.48955220428691,1.59730075347947,NA,NA,0.911743951379084,1.07032138928234,NA,NA,NA,NA,NA,NA,NA,NA,0.494773345177079,0.382020099834553,-3.15564513841669,0.532490084569693,NA,NA,NA,NA,0.973497727737593,0.194878503916081,1.31110849492403,1.37733986803577,0.561379595907637,1.0370064281387,0,302.973751262056,84.550227992125,9,30,187.10045598425,1.95454442015503,0.0349528405415108,NA,0.839294896602681
"36","36","~Elevation ~ 1 ~ Tvar + Biotic ~ Tvar + Biotic",NA,NA,NA,NA,-0.918605276185773,1.19383057666459,NA,NA,NA,NA,NA,NA,-1.31464049522006,1.2495239277226,2.19774106716719,1.99922522845649,NA,NA,NA,NA,-0.368042987620978,0.723761328753757,NA,NA,0.435306904432464,0.381138062506319,-3.24127666175766,0.563238655856843,NA,NA,NA,NA,0.979917855157725,0.195476958296052,2.58417968054189,3.09968212065782,1.67772064839411,2.85311251505414,0,1095.62489342951,84.639689887781,9,30,187.279379775562,2.13346821146698,0.0319616850797596,NA,0.871256581682441
"68","68","~Elevation^2 ~ 1 ~ Tvar^2 + Biotic ~ Tvar^2 + Biotic",NA,NA,NA,NA,-0.918605276185773,1.19383057666459,NA,NA,NA,NA,NA,NA,-1.31464049522006,1.2495239277226,2.19774106716719,1.99922522845649,NA,NA,NA,NA,-0.368042987620978,0.723761328753757,NA,NA,0.435306904432464,0.381138062506319,-3.24127666175766,0.563238655856843,NA,NA,NA,NA,0.979917855157725,0.195476958296052,2.58417968054189,3.09968212065782,1.67772064839411,2.85311251505414,0,1095.62489342951,84.639689887781,9,30,187.279379775562,2.13346821146698,0.0319616850797596,NA,0.903218266762201
"17","17","~Elevation ~ Tvar ~ Tvar ~ Tvar",NA,NA,NA,NA,-1.71663269759568,1.41781997291424,NA,NA,NA,NA,1.19714063785568,1.50829455449631,NA,NA,0.916547194633138,1.09482248404207,NA,NA,NA,NA,-0.0978756662958588,0.662473169719058,NA,NA,NA,NA,-2.75774338020748,0.467231862819858,NA,NA,NA,NA,0.94149125591613,0.204427060576375,1.60628356443476,2.40186714673984,0.452016268134839,1.52806588676509,0,414.790185654331,85.7113841277485,8,30,187.422768255497,2.27685669140212,0.0297504305509842,NA,0.932968697313185
"52","52","~Elevation^2 ~ Tvar^2 ~ Tvar^2 ~ Tvar^2",NA,NA,NA,NA,-1.71663269759568,1.41781997291424,NA,NA,NA,NA,1.19714063785568,1.50829455449631,NA,NA,0.916547194633138,1.09482248404207,NA,NA,NA,NA,-0.0978756662958588,0.662473169719058,NA,NA,NA,NA,-2.75774338020748,0.467231862819858,NA,NA,NA,NA,0.94149125591613,0.204427060576375,1.60628356443476,2.40186714673984,0.452016268134839,1.52806588676509,0,414.790185654331,85.7113841277485,8,30,187.422768255497,2.27685669140212,0.0297504305509842,NA,0.962719127864169
"32","32","~1 ~ Tvar + Biotic ~ Tvar + Biotic ~ Tvar + Biotic",NA,NA,0.767060154989178,1.45159469671024,-0.574760100715137,2.04615861276099,NA,NA,NA,NA,0.573935462627507,1.23335076479781,-1.74161354929374,3.35245889263734,3.91392294836054,5.76406317208168,NA,NA,NA,NA,-0.779878345841255,1.4240083888267,NA,NA,0.517730751858548,0.479174092103242,-3.20695212661281,0.739044887347611,NA,NA,NA,NA,0.977011478095873,0.214872122439801,NA,NA,0.491997700449174,1.21160674307359,0,2660.35509348854,84.754320409019,10,30,189.508640818038,4.36272925394303,0.0104845979977562,NA,0.973203725861925
"64","64","~1 ~ Tvar^2 + Biotic ~ Tvar^2 + Biotic ~ Tvar^2 + Biotic",NA,NA,0.767060154989178,1.45159469671024,-0.574760100715137,2.04615861276099,NA,NA,NA,NA,0.573935462627507,1.23335076479781,-1.74161354929374,3.35245889263734,3.91392294836054,5.76406317208168,NA,NA,NA,NA,-0.779878345841255,1.4240083888267,NA,NA,0.517730751858548,0.479174092103242,-3.20695212661281,0.739044887347611,NA,NA,NA,NA,0.977011478095873,0.214872122439801,NA,NA,0.491997700449174,1.21160674307359,0,2660.35509348854,84.754320409019,10,30,189.508640818038,4.36272925394303,0.0104845979977562,NA,0.983688323859681
"34","34","~Elevation ~ Tvar + Biotic ~ Tvar + Biotic ~ Tvar + Biotic",NA,NA,0.554384727731936,1.84912528994498,-1.32527224175769,1.69012136341568,NA,NA,NA,NA,1.1422675675999,1.69546791915201,-1.08039067756502,1.46270512331784,2.21631852729841,2.66615085061162,NA,NA,NA,NA,-0.28622126501579,0.918278611483488,NA,NA,0.432582656038062,0.413851683919704,-3.09531225865823,0.681560619809178,NA,NA,NA,NA,0.955750864299396,0.202147606464703,1.44269589585234,2.72036369867687,0.681076477648549,2.2118623260064,0,1091.69094857951,84.2758577260849,11,30,190.55171545217,5.40580388807487,0.0062237337366049,NA,0.989912057596286
"66","66","~Elevation^2 ~ Tvar^2 + Biotic ~ Tvar^2 + Biotic ~ Tvar^2 + Biotic",NA,NA,0.554384727731936,1.84912528994498,-1.32527224175769,1.69012136341568,NA,NA,NA,NA,1.1422675675999,1.69546791915201,-1.08039067756502,1.46270512331784,2.21631852729841,2.66615085061162,NA,NA,NA,NA,-0.28622126501579,0.918278611483488,NA,NA,0.432582656038062,0.413851683919704,-3.09531225865823,0.681560619809178,NA,NA,NA,NA,0.955750864299396,0.202147606464703,1.44269589585234,2.72036369867687,0.681076477648549,2.2118623260064,0,1091.69094857951,84.2758577260849,11,30,190.55171545217,5.40580388807487,0.0062237337366049,NA,0.996135791332891
