"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar)","SEcol(Tvar)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"23","23","~Elevation ~ Biotic ~ Biotic ~ Biotic",NA,NA,1.08611633537749,1.15288762767466,-2.08127045513946,0.74375375949383,NA,NA,NA,NA,NA,NA,-1.35001778601722,1.5525229686473,2.90761579655354,2.09974856016063,NA,NA,NA,NA,NA,NA,NA,NA,-0.241314220902295,0.333481506354654,-1.54795447224121,0.369208181133304,NA,NA,NA,NA,NA,NA,0.69525681814793,0.654516304111038,-0.720069280410144,0.471640788775143,0,198.132963361836,96.5985749816397,8,30,209.197149963279,24.0512383991845,5.56219671174069e-07,NA,0.999997247107289
"55","55","~Elevation^2 ~ Biotic ~ Biotic ~ Biotic",NA,NA,1.08611633537749,1.15288762767466,-2.08127045513946,0.74375375949383,NA,NA,NA,NA,NA,NA,-1.35001778601722,1.5525229686473,2.90761579655354,2.09974856016063,NA,NA,NA,NA,NA,NA,NA,NA,-0.241314220902295,0.333481506354654,-1.54795447224121,0.369208181133304,NA,NA,NA,NA,NA,NA,0.69525681814793,0.654516304111038,-0.720069280410144,0.471640788775143,0,198.132963361836,96.5985749816397,8,30,209.197149963279,24.0512383991845,5.56219671174069e-07,NA,0.99999780332696
"5","5","~Elevation ~ Tmin ~ Tmin ~ Tmin",NA,NA,NA,NA,-1.69900791620263,0.656275540307198,NA,NA,0.195611855445679,0.629380623960257,NA,NA,NA,NA,3.35158773869737,5.62636312034133,NA,NA,-4.59189101041494,12.0410886956603,NA,NA,NA,NA,NA,NA,-1.74620800084867,0.264650888231149,NA,NA,0.477255975178609,0.423324707488032,NA,NA,0.653128263967825,0.694892559367782,-0.614317351072482,0.487684227933285,0,2986.56114813817,96.7040182176889,8,30,209.408036435378,24.2621248712829,5.00556296131348e-07,NA,0.999998303883256
"40","40","~Elevation^2 ~ Tmin^2 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,-1.69900791620263,0.656275540307198,NA,NA,0.195611855445679,0.629380623960257,NA,NA,NA,NA,3.35158773869737,5.62636312034133,NA,NA,-4.59189101041494,12.0410886956603,NA,NA,NA,NA,NA,NA,-1.74620800084867,0.264650888231149,NA,NA,0.477255975178609,0.423324707488032,NA,NA,0.653128263967825,0.694892559367782,-0.614317351072482,0.487684227933285,0,2986.56114813817,96.7040182176889,8,30,209.408036435378,24.2621248712829,5.00556296131348e-07,NA,0.999998804439552
"27","27","~Elevation ~ Biotic + Tmin ~ 1 ~ Biotic + Tmin",NA,NA,1.15063191128919,1.15245472839064,-2.11491488029865,0.757564912235347,NA,NA,-0.0541864417845042,0.730277054934912,NA,NA,NA,NA,1.77540004171909,1.08149045829137,NA,NA,NA,NA,NA,NA,NA,NA,-0.358782393700387,0.317793575774349,-1.40479871388654,0.351567214356696,NA,NA,0.5650847774735,0.416932747152449,NA,NA,0.614461555496971,0.632184343319938,-0.760051994140841,0.452555524555999,0,56.5116068885175,96.0813849344014,9,30,210.162769868803,25.0168583047079,3.43213724117046e-07,NA,0.999999147653276
"59","59","~Elevation^2 ~ Biotic + Tmin^2 ~ 1 ~ Biotic + Tmin^2",NA,NA,1.15063191128919,1.15245472839064,-2.11491488029865,0.757564912235347,NA,NA,-0.0541864417845042,0.730277054934912,NA,NA,NA,NA,1.77540004171909,1.08149045829137,NA,NA,NA,NA,NA,NA,NA,NA,-0.358782393700387,0.317793575774349,-1.40479871388654,0.351567214356696,NA,NA,0.5650847774735,0.416932747152449,NA,NA,0.614461555496971,0.632184343319938,-0.760051994140841,0.452555524555999,0,56.5116068885175,96.0813849344014,9,30,210.162769868803,25.0168583047079,3.43213724117046e-07,NA,0.999999490867001
"28","28","~1 ~ Biotic * Tmin ~ 1 ~ Biotic * Tmin",-0.976196047070354,1.0797569854604,2.31689193952568,1.65852865452028,-2.16753557086837,0.800358169786698,NA,NA,0.166061983045168,0.7967245729776,NA,NA,NA,NA,1.91488404446196,1.10271689033967,NA,NA,NA,NA,NA,NA,0.515139288026695,0.613485009766746,-0.431435751783242,0.322610201624786,-1.45404285754477,0.352519432291728,NA,NA,0.564795957350972,0.40799592793924,NA,NA,NA,NA,-0.779468932463554,0.449034440552364,0,132.034173448617,95.8361147605028,10,30,211.672229521006,26.5263179569106,1.61357682201744e-07,NA,0.999999652224683
"60","60","~1 ~ Biotic * Tmin^2 ~ 1 ~ Biotic * Tmin^2",-0.976196047070354,1.0797569854604,2.31689193952568,1.65852865452028,-2.16753557086837,0.800358169786698,NA,NA,0.166061983045168,0.7967245729776,NA,NA,NA,NA,1.91488404446196,1.10271689033967,NA,NA,NA,NA,NA,NA,0.515139288026695,0.613485009766746,-0.431435751783242,0.322610201624786,-1.45404285754477,0.352519432291728,NA,NA,0.564795957350972,0.40799592793924,NA,NA,NA,NA,-0.779468932463554,0.449034440552364,0,132.034173448617,95.8361147605028,10,30,211.672229521006,26.5263179569106,1.61357682201744e-07,NA,0.999999813582365
"29","29","~Elevation ~ Biotic * Tmin ~ 1 ~ Biotic * Tmin",-0.922615393786629,1.03824766857051,2.21575619447488,1.60199615224961,-2.20269714773096,0.795232115712766,NA,NA,0.204087501300961,0.791894545044051,NA,NA,NA,NA,1.83609853556274,1.10484821592577,NA,NA,NA,NA,NA,NA,0.503686975903265,0.61038940901088,-0.431852001473436,0.322005096565637,-1.43925048172172,0.352329661236966,NA,NA,0.526707123679681,0.401196149991238,NA,NA,0.587667023642394,0.63373574144926,-0.758591756635437,0.451484400623702,0,122.481549241434,95.3848959643413,11,30,212.769791928683,27.6238803645877,9.32088174976553e-08,NA,0.999999906791182
"61","61","~Elevation^2 ~ Biotic * Tmin^2 ~ 1 ~ Biotic * Tmin^2",-0.922615393786629,1.03824766857051,2.21575619447488,1.60199615224961,-2.20269714773096,0.795232115712766,NA,NA,0.204087501300961,0.791894545044051,NA,NA,NA,NA,1.83609853556274,1.10484821592577,NA,NA,NA,NA,NA,NA,0.503686975903265,0.61038940901088,-0.431852001473436,0.322005096565637,-1.43925048172172,0.352329661236966,NA,NA,0.526707123679681,0.401196149991238,NA,NA,0.587667023642394,0.63373574144926,-0.758591756635437,0.451484400623702,0,122.481549241434,95.3848959643413,11,30,212.769791928683,27.6238803645877,9.32088174976553e-08,NA,1
