"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(ForestLossCT)","SEcol(ForestLossCT)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(ForestLossCT)","SEext(ForestLossCT)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(ForestLossCT)","SEp(ForestLossCT)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"11","11","~Elevation ~ Tmax ~ Tmax ~ Tmax",NA,NA,NA,NA,NA,NA,-0.373885390585235,0.543406559628233,NA,NA,0.720386692829075,0.659579857857637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.33209640525385,0.552338469862853,NA,NA,-0.212381381192415,0.621810259438747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.17351992221105,0.182263499218529,NA,NA,0.910011333310846,0.231417355322501,NA,NA,NA,NA,NA,NA,0.354720410547007,0.762211368350441,0.329755469173672,0.906079508225319,0,57.383659683854,204.626376504324,8,61,425.252753008647,3.64527176785248,0.0252296016067767,NA,0.827222909133524
"71","71","~Elevation^2 ~ Tmax^2 ~ Tmax^2 ~ Tmax^2",NA,NA,NA,NA,NA,NA,-0.373885390585235,0.543406559628233,NA,NA,0.720386692829075,0.659579857857637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.33209640525385,0.552338469862853,NA,NA,-0.212381381192415,0.621810259438747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.17351992221105,0.182263499218529,NA,NA,0.910011333310846,0.231417355322501,NA,NA,NA,NA,NA,NA,0.354720410547007,0.762211368350441,0.329755469173672,0.906079508225319,0,57.383659683854,204.626376504324,8,61,425.252753008647,3.64527176785248,0.0252296016067767,NA,0.852452510740301
"39","39","~1 ~ Tmax + Biotic ~ 1 ~ Tmax + Biotic",NA,NA,-0.171798262654771,0.489415601166623,NA,NA,-0.358489391572034,0.514575774752587,NA,NA,0.704516473206515,0.588732897550196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.34941735943819,0.52167494133372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0620246119377051,0.138572869742372,NA,NA,-1.17210892048225,0.178520567780826,NA,NA,0.896915543978128,0.221928556766676,NA,NA,NA,NA,NA,NA,NA,NA,0.0344840330579628,0.600875091779483,0,30.5294298808748,204.649937079966,8,61,425.299874159933,3.69239291913834,0.0246421254829565,NA,0.877094636223257
"96","96","~1 ~ Tmax^2 + Biotic ~ 1 ~ Tmax^2 + Biotic",NA,NA,-0.171798262654771,0.489415601166623,NA,NA,-0.358489391572034,0.514575774752587,NA,NA,0.704516473206515,0.588732897550196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.34941735943819,0.52167494133372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0620246119377051,0.138572869742372,NA,NA,-1.17210892048225,0.178520567780826,NA,NA,0.896915543978128,0.221928556766676,NA,NA,NA,NA,NA,NA,NA,NA,0.0344840330579628,0.600875091779483,0,30.5294298808748,204.649937079966,8,61,425.299874159933,3.69239291913834,0.0246421254829565,NA,0.901736761706214
"40","40","~1 ~ 1 ~ Tmax + Biotic ~ Tmax + Biotic",NA,NA,NA,NA,NA,NA,0.0230846072975654,0.59881701739268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0323155349419036,0.515084144121646,NA,NA,-1.08385951939355,0.638783567449225,NA,NA,-0.618242689673574,0.697491607470225,NA,NA,NA,NA,NA,NA,NA,NA,0.0702894007961575,0.150752364337197,NA,NA,-1.19496449066735,0.180951395643766,NA,NA,0.929279009484839,0.221728272246966,NA,NA,NA,NA,NA,NA,NA,NA,0.151498138282748,0.629500289413117,0,46.9735694337307,205.338106230263,8,61,426.676212460526,5.06873121973098,0.0123825502811262,NA,0.91411931198734
"97","97","~1 ~ 1 ~ Tmax^2 + Biotic ~ Tmax^2 + Biotic",NA,NA,NA,NA,NA,NA,0.0230846072975654,0.59881701739268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0323155349419036,0.515084144121646,NA,NA,-1.08385951939355,0.638783567449225,NA,NA,-0.618242689673574,0.697491607470225,NA,NA,NA,NA,NA,NA,NA,NA,0.0702894007961575,0.150752364337197,NA,NA,-1.19496449066735,0.180951395643766,NA,NA,0.929279009484839,0.221728272246966,NA,NA,NA,NA,NA,NA,NA,NA,0.151498138282748,0.629500289413117,0,46.9735694337307,205.338106230263,8,61,426.676212460526,5.06873121973098,0.0123825502811262,NA,0.926501862268466
"42","42","~Elevation ~ Tmax + Biotic ~ 1 ~ Tmax + Biotic",NA,NA,-0.175078847896318,0.50527446720702,NA,NA,-0.378053225182134,0.542889197468518,NA,NA,0.716430415014478,0.629873388691248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.36370678473671,0.529405198216836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0551579821813437,0.13909076200038,NA,NA,-1.18816369456255,0.181740783239891,NA,NA,0.926896558111743,0.227938914942872,NA,NA,NA,NA,NA,NA,0.32275268414755,0.756384719236677,0.284064518054574,0.883225618179151,0,69.5666611638941,204.552906543865,9,61,427.105813087729,5.49833184693466,0.0099890344119691,NA,0.936490896680435
"99","99","~Elevation^2 ~ Tmax^2 + Biotic ~ 1 ~ Tmax^2 + Biotic",NA,NA,-0.175078847896318,0.50527446720702,NA,NA,-0.378053225182134,0.542889197468518,NA,NA,0.716430415014478,0.629873388691248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.36370678473671,0.529405198216836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0551579821813437,0.13909076200038,NA,NA,-1.18816369456255,0.181740783239891,NA,NA,0.926896558111743,0.227938914942872,NA,NA,NA,NA,NA,NA,0.32275268414755,0.756384719236677,0.284064518054574,0.883225618179151,0,69.5666611638941,204.552906543865,9,61,427.105813087729,5.49833184693466,0.0099890344119691,NA,0.946479931092404
"45","45","~1 ~ Tmax * Biotic ~ 1 ~ Tmax * Biotic",NA,NA,-0.031858189137144,0.558697204712335,NA,NA,-0.550692857053362,0.627536106000748,-0.488255042552446,0.51550675669272,0.89391535984341,0.666153740769354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.40093562021231,0.521067182217904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0515230802456965,0.147661523416406,NA,NA,-1.18634377079359,0.179607763195632,0.0121289063493905,0.166774676452449,0.931635846661796,0.228326422922808,NA,NA,NA,NA,NA,NA,NA,NA,0.0911975441547941,0.619326301090789,0,66.279670833094,204.10580363255,10,61,428.2116072651,6.604126024305,0.00574649925306209,NA,0.952226430345466
"43","43","~Elevation ~ 1 ~ Tmax + Biotic ~ Tmax + Biotic",NA,NA,NA,NA,NA,NA,0.0557126332127817,0.595628722128072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0298642914940587,0.509126711021536,NA,NA,-1.0780778940024,0.620636358729078,NA,NA,-0.617868101264864,0.679304143292475,NA,NA,NA,NA,NA,NA,NA,NA,0.0624927312836023,0.149691635485286,NA,NA,-1.20986503181579,0.181547786084588,NA,NA,0.95809532775139,0.220471482179274,NA,NA,NA,NA,NA,NA,0.498010405501879,0.819078702135889,0.572316169144964,1.02406105937437,0,94.4850665073365,205.12850396479,9,61,428.25700792958,6.64952668878504,0.00561752127086095,NA,0.957843951616327
