"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"41","41","~1 ~ Tvar^2 ~ 1 ~ Tvar^2",NA,NA,NA,NA,-2.5034290678023,0.420840632145761,NA,NA,NA,NA,NA,NA,-0.0357891008114593,0.623997320807794,NA,NA,NA,NA,-2.09966701252799,1.53265926998192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.86398599759192,0.328085430389838,NA,NA,NA,NA,NA,NA,0.792241021883852,0.200206055583769,NA,NA,-2.914590442427,1.03297085520827,0,113.31008710456,118.60853000928,6,60,249.21706001856,16.8068130953208,0.000177455175444729,NA,0.999302636940636
"30","30","~1 ~ Tvar + Biotic ~ 1 ~ Tvar + Biotic",NA,NA,0.721308821109071,1.00632289068567,-2.52695926045668,0.447362027500025,NA,NA,NA,NA,NA,NA,-0.00925157794143113,0.645633848821239,NA,NA,NA,NA,-2.29711853325408,1.73894322135325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.597086815893972,0.337753978992026,-2.007911853714,0.332497419334691,NA,NA,NA,NA,NA,NA,0.708473388787145,0.199957652447629,NA,NA,-2.83374570961595,1.04630383716003,0,150.97224728719,116.665192128495,8,60,249.33038425699,16.9201373337509,0.000167679752499518,NA,0.999470316693136
"55","55","~1 ~ Tvar^2 + Biotic ~ 1 ~ Tvar^2 + Biotic",NA,NA,0.721308821109071,1.00632289068567,-2.52695926045668,0.447362027500025,NA,NA,NA,NA,NA,NA,-0.00925157794143113,0.645633848821239,NA,NA,NA,NA,-2.29711853325408,1.73894322135325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.597086815893972,0.337753978992026,-2.007911853714,0.332497419334691,NA,NA,NA,NA,NA,NA,0.708473388787145,0.199957652447629,NA,NA,-2.83374570961595,1.04630383716003,0,150.97224728719,116.665192128495,8,60,249.33038425699,16.9201373337509,0.000167679752499518,NA,0.999637996445635
"27","27","~1 ~ 1 ~ Tmax + Biotic ~ Tmax + Biotic",NA,NA,NA,NA,-2.38569030975635,0.404836213632363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.73835921162938,2.14457964940541,-0.0306912744647376,1.26263446695399,NA,NA,-4.34663716165111,6.81549251255034,NA,NA,NA,NA,NA,NA,-0.742263361776941,0.335189909345642,-2.47615666245264,0.459558504201688,NA,NA,1.1141837275525,0.442989176197299,NA,NA,NA,NA,NA,NA,-2.57344414505646,1.05684724703971,0,2156.98912563779,118.283095521354,8,60,252.566191042708,20.1559441194686,3.32532508498862e-05,NA,0.999671249696485
"53","53","~1 ~ 1 ~ Tmax^2 + Biotic ~ Tmax^2 + Biotic",NA,NA,NA,NA,-2.38569030975635,0.404836213632363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.73835921162938,2.14457964940541,-0.0306912744647376,1.26263446695399,NA,NA,-4.34663716165111,6.81549251255034,NA,NA,NA,NA,NA,NA,-0.742263361776941,0.335189909345642,-2.47615666245264,0.459558504201688,NA,NA,1.1141837275525,0.442989176197299,NA,NA,NA,NA,NA,NA,-2.57344414505646,1.05684724703971,0,2156.98912563779,118.283095521354,8,60,252.566191042708,20.1559441194686,3.32532508498862e-05,NA,0.999704502947335
"24","24","~1 ~ 1 ~ Biotic * Tmin ~ Biotic * Tmin",NA,NA,NA,NA,-2.44137342084593,0.38732931920409,NA,NA,NA,NA,NA,NA,NA,NA,5.05827375265909,3.07393586502996,-4.25032438238159,2.36974732672184,0.872820987916883,1.49028520843685,NA,NA,NA,NA,-2.37580235056391,2.15079544674391,NA,NA,1.37238204403595,0.966145978025709,-1.92876691806813,0.743864944923599,-0.723741390088004,0.554807034396707,NA,NA,NA,NA,-0.971067370820016,0.696117923361452,NA,NA,NA,NA,-2.62294561455355,1.04377746289318,0,599.980007478984,116.39902020774,10,60,252.79804041548,20.3877934922404,2.96134261860869e-05,NA,0.999734116373521
"50","50","~1 ~ 1 ~ Biotic * Tmin^2 ~ Biotic * Tmin^2",NA,NA,NA,NA,-2.44137342084593,0.38732931920409,NA,NA,NA,NA,NA,NA,NA,NA,5.05827375265909,3.07393586502996,-4.25032438238159,2.36974732672184,0.872820987916883,1.49028520843685,NA,NA,NA,NA,-2.37580235056391,2.15079544674391,NA,NA,1.37238204403595,0.966145978025709,-1.92876691806813,0.743864944923599,-0.723741390088004,0.554807034396707,NA,NA,NA,NA,-0.971067370820016,0.696117923361452,NA,NA,NA,NA,-2.62294561455355,1.04377746289318,0,599.980007478984,116.39902020774,10,60,252.79804041548,20.3877934922404,2.96134261860869e-05,NA,0.999763729799707
"25","25","~1 ~ Tmax + Biotic ~ Tmax + Biotic ~ Tmax + Biotic",NA,NA,0.471063538175266,1.10366091373012,-1.73589351365844,0.554317745410377,NA,NA,-1.41514610424916,1.02474608882833,NA,NA,NA,NA,NA,NA,-2.4455743405431,2.3069134998553,0.615686791828352,1.17058364748785,NA,NA,-8.18635028730314,7.10012338178141,NA,NA,NA,NA,NA,NA,-0.717592391887981,0.317939640578357,-2.51972949164838,0.452959821939559,NA,NA,1.11199067106997,0.435605630317383,NA,NA,NA,NA,NA,NA,-2.44329293709047,1.05659362050504,0,2447.21392441736,117.046576916586,10,60,254.093153833172,21.6829069099325,1.54973824738864e-05,NA,0.999779227182181
"51","51","~1 ~ Tmax^2 + Biotic ~ Tmax^2 + Biotic ~ Tmax^2 + Biotic",NA,NA,0.471063538175266,1.10366091373012,-1.73589351365844,0.554317745410377,NA,NA,-1.41514610424916,1.02474608882833,NA,NA,NA,NA,NA,NA,-2.4455743405431,2.3069134998553,0.615686791828352,1.17058364748785,NA,NA,-8.18635028730314,7.10012338178141,NA,NA,NA,NA,NA,NA,-0.717592391887981,0.317939640578357,-2.51972949164838,0.452959821939559,NA,NA,1.11199067106997,0.435605630317383,NA,NA,NA,NA,NA,NA,-2.44329293709047,1.05659362050504,0,2447.21392441736,117.046576916586,10,60,254.093153833172,21.6829069099325,1.54973824738864e-05,NA,0.999794724564655
"17","17","~1 ~ Biotic + Tmin ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,0.791923502595575,0.813059809661626,-1.8174069126556,0.499343496850553,NA,NA,NA,NA,-1.75152116721829,1.62959955461158,NA,NA,NA,NA,0.810485907460548,1.16192353530508,4.40721862910294,3.32654840506042,NA,NA,NA,NA,-6.24781356234882,4.33205190611528,NA,NA,NA,NA,-0.781820494447255,0.371126708484649,-0.118049991942975,0.489160917108156,NA,NA,NA,NA,-1.74170529639771,0.583001824840255,NA,NA,NA,NA,-2.56445984861084,0.98484142155632,0,1043.49613578509,117.398469911956,10,60,254.796939823912,22.3866929006729,1.0900167342519e-05,NA,0.999805624731998
"43","43","~1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,0.791923502595575,0.813059809661626,-1.8174069126556,0.499343496850553,NA,NA,NA,NA,-1.75152116721829,1.62959955461158,NA,NA,NA,NA,0.810485907460548,1.16192353530508,4.40721862910294,3.32654840506042,NA,NA,NA,NA,-6.24781356234882,4.33205190611528,NA,NA,NA,NA,-0.781820494447255,0.371126708484649,-0.118049991942975,0.489160917108156,NA,NA,NA,NA,-1.74170529639771,0.583001824840255,NA,NA,NA,NA,-2.56445984861084,0.98484142155632,0,1043.49613578509,117.398469911956,10,60,254.796939823912,22.3866929006729,1.0900167342519e-05,NA,0.99981652489934
