"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Int)","SEext(Int)","ext(Tmin)","SEext(Tmin)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"4","4","~Elevation ~ Tmin ~ Tmin ~ Tmin",NA,NA,NA,NA,-2.01275814288715,1.18871567532274,NA,NA,NA,NA,4.00547668575975,3.57382601993767,NA,NA,NA,NA,-1.56078089141336,2.18875228646356,2.49067882168152,2.8786489767962,NA,NA,NA,NA,NA,NA,-2.01159205606369,0.3955007818096,NA,NA,NA,NA,0.317424959777326,0.32177162531052,NA,NA,NA,NA,-1.65742610306315,1.0812431018867,-0.784625375860921,1.01671662192524,0,503.018531314617,100.189636337255,8,60,216.37927267451,1.88458747708145,0.0333579190472776,NA,0.61330193354367
"27","27","~Elevation^2 ~ Tmin^2 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,-2.01275814288715,1.18871567532274,NA,NA,NA,NA,4.00547668575975,3.57382601993767,NA,NA,NA,NA,-1.56078089141336,2.18875228646356,2.49067882168152,2.8786489767962,NA,NA,NA,NA,NA,NA,-2.01159205606369,0.3955007818096,NA,NA,NA,NA,0.317424959777326,0.32177162531052,NA,NA,NA,NA,-1.65742610306315,1.0812431018867,-0.784625375860921,1.01671662192524,0,503.018531314617,100.189636337255,8,60,216.37927267451,1.88458747708145,0.0333579190472776,NA,0.646659852590948
"3","3","~1 ~ Tmin ~ 1 ~ Tmin",NA,NA,NA,NA,0.44405193224086,1.37509920216249,NA,NA,NA,NA,0.720136032806188,0.647527702806764,NA,NA,NA,NA,1.32168640429429,0.902464687727984,NA,NA,NA,NA,NA,NA,NA,NA,-1.97291169347572,0.408525583702633,NA,NA,NA,NA,0.355822012790237,0.36269902066651,NA,NA,NA,NA,NA,NA,-1.54385805620928,0.858581016700769,0,52.167669032561,102.210251404179,6,60,216.420502808357,1.92581761092904,0.0326772830961286,NA,0.679337135687077
"26","26","~1 ~ Tmin^2 ~ 1 ~ Tmin^2",NA,NA,NA,NA,0.44405193224086,1.37509920216249,NA,NA,NA,NA,0.720136032806188,0.647527702806764,NA,NA,NA,NA,1.32168640429429,0.902464687727984,NA,NA,NA,NA,NA,NA,NA,NA,-1.97291169347572,0.408525583702633,NA,NA,NA,NA,0.355822012790237,0.36269902066651,NA,NA,NA,NA,NA,NA,-1.54385805620928,0.858581016700769,0,52.167669032561,102.210251404179,6,60,216.420502808357,1.92581761092904,0.0326772830961286,NA,0.712014418783205
"14","14","~Elevation ~ Biotic + Tmin ~ 1 ~ Biotic + Tmin",NA,NA,-1.60826365236813,0.749885690046927,-0.357925293436944,0.685606568765439,NA,NA,NA,NA,0.795277603478648,0.572602497401789,NA,NA,NA,NA,0.904661907481337,0.97621997204731,NA,NA,NA,NA,NA,NA,0.389176787183024,0.340209846279758,-1.73046599176876,0.342576633621131,NA,NA,NA,NA,0.430564587892995,0.383507834462122,NA,NA,NA,NA,-1.42498710382659,1.49970691447834,-1.99522432542088,1.11804739580019,0,68.3119182846158,99.2513751455625,9,60,216.502750291125,2.00806509369676,0.0313607273433082,NA,0.743375146126513
"36","36","~Elevation^2 ~ Biotic + Tmin^2 ~ 1 ~ Biotic + Tmin^2",NA,NA,-1.60826365236813,0.749885690046927,-0.357925293436944,0.685606568765439,NA,NA,NA,NA,0.795277603478648,0.572602497401789,NA,NA,NA,NA,0.904661907481337,0.97621997204731,NA,NA,NA,NA,NA,NA,0.389176787183024,0.340209846279758,-1.73046599176876,0.342576633621131,NA,NA,NA,NA,0.430564587892995,0.383507834462122,NA,NA,NA,NA,-1.42498710382659,1.49970691447834,-1.99522432542088,1.11804739580019,0,68.3119182846158,99.2513751455625,9,60,216.502750291125,2.00806509369676,0.0313607273433082,NA,0.774735873469822
"19","19","~1 ~ Tmax * Biotic ~ 1 ~ Tmax * Biotic",NA,NA,-1.54298169700154,1.34705497027421,0.84398189243745,2.13809565043656,-0.0425419041962219,1.25814070719346,0.56999661443784,1.40567371777575,NA,NA,NA,NA,NA,NA,0.712740365114112,0.988053361700588,NA,NA,NA,NA,NA,NA,0.453983394640486,0.475308956793637,-2.20065279180153,0.472031075774154,-0.641721596365357,0.584321934432648,0.839360718756798,0.356770292241738,NA,NA,NA,NA,NA,NA,NA,NA,-1.36896078091844,0.876957342324276,0,218.829777256014,98.5990724311738,10,60,217.198144862348,2.70345966491922,0.0221504785881742,NA,0.796886352057996
"20","20","~Elevation ~ Tmax * Biotic ~ 1 ~ Tmax * Biotic",NA,NA,-1.38351677249013,0.83098655044852,0.423851151450393,1.24269839065825,0.052101672349737,0.872840199225626,0.277973750084102,0.900169993245806,NA,NA,NA,NA,NA,NA,0.5165949663554,1.01974868647369,NA,NA,NA,NA,NA,NA,0.499722381809614,0.469608968740717,-2.1361143299899,0.410853184405868,-0.641405644644872,0.591525794047077,0.805635931126389,0.342974385405151,NA,NA,NA,NA,NA,NA,-1.33660998004338,1.52323601658732,-1.66314180432463,1.12775878393222,0,82.9805217641438,97.9250136366893,11,60,217.850027273379,3.35534207595026,0.0159892704023145,NA,0.81287562246031
"2","2","~1 ~ Tmin ~ Tmin ~ Tmin",NA,NA,NA,NA,0.241045805902617,1.44830302542924,NA,NA,NA,NA,0.74516263949071,0.644896571474915,NA,NA,NA,NA,1.28913169017675,0.997130202252674,0.377221727424863,1.36437217483807,NA,NA,NA,NA,NA,NA,-1.91803604628727,0.453718610585791,NA,NA,NA,NA,0.344277341790599,0.375383609079719,NA,NA,NA,NA,NA,NA,-1.57313902354085,0.859260815176952,0,79.0547962525594,102.168603587505,7,60,218.33720717501,3.84252197758158,0.0125325335427874,NA,0.825408156003098
"25","25","~1 ~ Tmin^2 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,0.241045805902617,1.44830302542924,NA,NA,NA,NA,0.74516263949071,0.644896571474915,NA,NA,NA,NA,1.28913169017675,0.997130202252674,0.377221727424863,1.36437217483807,NA,NA,NA,NA,NA,NA,-1.91803604628727,0.453718610585791,NA,NA,NA,NA,0.344277341790599,0.375383609079719,NA,NA,NA,NA,NA,NA,-1.57313902354085,0.859260815176952,0,79.0547962525594,102.168603587505,7,60,218.33720717501,3.84252197758158,0.0125325335427874,NA,0.837940689545885
