"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(ForestLossCT)","SEcol(ForestLossCT)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(ForestLossCT)","SEext(ForestLossCT)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(ForestLossCT)","SEp(ForestLossCT)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"25","25","~Elevation ~ 1 ~ Biotic ~ Biotic",NA,NA,NA,NA,NA,NA,-0.265845379499698,0.425841121864715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.157566254051014,0.465812481012994,NA,NA,-0.716315760315973,0.503233113648302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.229191660688632,0.158721427472531,NA,NA,-1.00790489046361,0.202526445694564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0902065983086,0.8044598482211,-0.557752203766953,0.633466658134656,0,48.3454334520544,206.236364736697,7,61,426.472729473394,2.9622034886084,0.0204120280268537,NA,0.379710350952659
"82","82","~Elevation^2 ~ 1 ~ Biotic ~ Biotic",NA,NA,NA,NA,NA,NA,-0.265845379499698,0.425841121864715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.157566254051014,0.465812481012994,NA,NA,-0.716315760315973,0.503233113648302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.229191660688632,0.158721427472531,NA,NA,-1.00790489046361,0.202526445694564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0902065983086,0.8044598482211,-0.557752203766953,0.633466658134656,0,48.3454334520544,206.236364736697,7,61,426.472729473394,2.9622034886084,0.0204120280268537,NA,0.400122378979512
"57","57","~1 ~ Tvar + Biotic ~ 1 ~ Tvar + Biotic",NA,NA,0.435532198528786,0.377180211519793,NA,NA,-0.249234210114037,0.472834812904646,NA,NA,NA,NA,NA,NA,NA,NA,0.725854800708105,0.639310465924747,NA,NA,NA,NA,NA,NA,-0.596407192380689,0.448191646787983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.268695950940028,0.143801045767087,NA,NA,-0.966698281109122,0.205634616201643,NA,NA,NA,NA,NA,NA,NA,NA,0.262849478965175,0.215729440628889,NA,NA,-0.676811743971289,0.590836297672894,0,37.7888783440815,205.2522705569,8,61,426.504541113801,2.99401512901505,0.0200899264150515,NA,0.420212305394564
"110","110","~1 ~ Tvar^2 + Biotic ~ 1 ~ Tvar^2 + Biotic",NA,NA,0.435532198528786,0.377180211519793,NA,NA,-0.249234210114037,0.472834812904646,NA,NA,NA,NA,NA,NA,NA,NA,0.725854800708105,0.639310465924747,NA,NA,NA,NA,NA,NA,-0.596407192380689,0.448191646787983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.268695950940028,0.143801045767087,NA,NA,-0.966698281109122,0.205634616201643,NA,NA,NA,NA,NA,NA,NA,NA,0.262849478965175,0.215729440628889,NA,NA,-0.676811743971289,0.590836297672894,0,37.7888783440815,205.2522705569,8,61,426.504541113801,2.99401512901505,0.0200899264150515,NA,0.440302231809615
"22","22","~1 ~ 1 ~ Biotic ~ Biotic",NA,NA,NA,NA,NA,NA,-0.265788879327258,0.429466764820749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0978091873267789,0.454382731497232,NA,NA,-0.746118502935604,0.511704436555308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.249387140098229,0.158555299161325,NA,NA,-1.02576235115739,0.205905095287103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.691425691741326,0.58471656643756,0,26.4734121383953,207.36091466866,6,61,426.72182933732,3.21130335253434,0.0180216606576333,NA,0.458323892467249
"18","18","~Elevation ~ Tvar ~ 1 ~ Tvar",NA,NA,NA,NA,NA,NA,-0.322548299965947,0.40342584197591,NA,NA,NA,NA,NA,NA,NA,NA,0.494533746350522,0.468073323146865,NA,NA,NA,NA,NA,NA,-0.699614580050017,0.476865041029592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.835788767238615,0.180725517791757,NA,NA,NA,NA,NA,NA,NA,NA,0.280397876993382,0.205150869203585,1.28611343452814,0.844079358351438,-0.507145508181064,0.656105064262142,0,29.3803862108202,206.429153873737,7,61,426.858307747473,3.34778176268765,0.0168328982243186,NA,0.475156790691567
"78","78","~Elevation^2 ~ Tvar^2 ~ 1 ~ Tvar^2",NA,NA,NA,NA,NA,NA,-0.322548299965947,0.40342584197591,NA,NA,NA,NA,NA,NA,NA,NA,0.494533746350522,0.468073323146865,NA,NA,NA,NA,NA,NA,-0.699614580050017,0.476865041029592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.835788767238615,0.180725517791757,NA,NA,NA,NA,NA,NA,NA,NA,0.280397876993382,0.205150869203585,1.28611343452814,0.844079358351438,-0.507145508181064,0.656105064262142,0,29.3803862108202,206.429153873737,7,61,426.858307747473,3.34778176268765,0.0168328982243186,NA,0.491989688915886
"45","45","~1 ~ Tmax * Biotic ~ 1 ~ Tmax * Biotic",NA,NA,0.714468929683887,0.639621215502792,NA,NA,-0.916027042403021,0.52370919837932,-1.12903879403423,0.684516829158369,0.0384049175590747,0.458884033571771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.817803350570549,0.493228132063689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.260842985497278,0.148440800472124,NA,NA,-0.944774011831759,0.195584029876567,0.117465331948931,0.144293691826783,0.0554445974729505,0.177660505591116,NA,NA,NA,NA,NA,NA,NA,NA,-0.707819616387368,0.590424812347615,0,100.022814739553,203.458486709702,10,61,426.916973419404,3.40644743461803,0.0163463129334303,NA,0.508336001849316
"115","115","~1 ~ ForestLossCT ~ ForestLossCT ~ ForestLossCT",NA,NA,NA,NA,1.95641804755775,2.02026807068492,0.0257740590932263,0.909384885611597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.64003002775098,0.995203890829484,-0.86566939342001,0.555060283686002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.410102657203629,0.234214601472725,-0.91299418553493,0.183104899361181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.72356914065946,0.575381739650482,0,196.813497472277,206.491591644667,7,61,426.983183289335,3.47265730454933,0.0158140285385913,NA,0.524150030387907
"54","54","~Elevation ~ Tvar * Biotic ~ 1 ~ Tvar * Biotic",NA,NA,0.613689486757287,0.446438433609526,NA,NA,-0.47807407848419,0.514419841044676,NA,NA,NA,NA,NA,NA,-0.57248646994854,0.508432684574367,0.770087896800465,0.589798703990654,NA,NA,NA,NA,NA,NA,-0.642239463302002,0.461771897634053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.297553535799111,0.162256319652073,NA,NA,-0.938877770667673,0.198240575793486,NA,NA,NA,NA,NA,NA,0.18669173197719,0.235715627475876,0.19764956128838,0.205148303157628,1.17441273848622,0.842630331872547,-0.517113040283248,0.653744464286255,0,60.6545366103548,202.76543973228,11,61,427.530879464559,4.0203534797738,0.012025739857084,NA,0.536175770244991
