"","model","formula","col(Int)","SEcol(Int)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(ForestGainCT)","SEext(ForestGainCT)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(ForestGainCT)","SEp(ForestGainCT)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"7","7","~Elevation ~ 1 ~ Tmin ~ Tmin",1.69605981505146,0.851381642590418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.49318387148856,0.347521156838259,NA,NA,NA,NA,0.251577171962555,0.42112614364656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.226902214062667,0.112771483314508,NA,NA,NA,NA,-0.519340380322082,0.129508165172943,NA,NA,NA,NA,1.08289177170807,1.98609563544206,0.225983528390247,1.93068015300339,0,1527.87919897016,509.4286648181,7,60,1032.8573296362,4.05030168631674,0.0252517384429413,NA,0.836549926117811
"38","38","~Elevation^2 ~ 1 ~ Tmin^2 ~ Tmin^2",1.69605981505146,0.851381642590418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.49318387148856,0.347521156838259,NA,NA,NA,NA,0.251577171962555,0.42112614364656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.226902214062667,0.112771483314508,NA,NA,NA,NA,-0.519340380322082,0.129508165172943,NA,NA,NA,NA,1.08289177170807,1.98609563544206,0.225983528390247,1.93068015300339,0,1527.87919897016,509.4286648181,7,60,1032.8573296362,4.05030168631674,0.0252517384429413,NA,0.861801664560752
"2","2","~1 ~ Tmin ~ Tmin ~ Tmin",1.78035648215876,0.926159735927537,NA,NA,0.68821244982179,1.5618905312961,NA,NA,NA,NA,NA,NA,NA,NA,-1.48186553590178,0.346722175669645,NA,NA,NA,NA,0.256881890849011,0.420647378004112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.227320012814111,0.112461976841519,NA,NA,NA,NA,-0.519044963454354,0.129145150842722,NA,NA,NA,NA,NA,NA,1.27154919023584,0.528168769733727,0,514.142494782548,509.466765677542,7,60,1032.93353135508,4.12650340520167,0.0243077235919294,NA,0.886109388152682
"33","33","~1 ~ Tmin^2 ~ Tmin^2 ~ Tmin^2",1.78035648215876,0.926159735927537,NA,NA,0.68821244982179,1.5618905312961,NA,NA,NA,NA,NA,NA,NA,NA,-1.48186553590178,0.346722175669645,NA,NA,NA,NA,0.256881890849011,0.420647378004112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.227320012814111,0.112461976841519,NA,NA,NA,NA,-0.519044963454354,0.129145150842722,NA,NA,NA,NA,NA,NA,1.27154919023584,0.528168769733727,0,514.142494782548,509.466765677542,7,60,1032.93353135508,4.12650340520167,0.0243077235919294,NA,0.910417111744611
"6","6","~Elevation ~ Tmin ~ 1 ~ Tmin",1.70412777790983,0.886458506572903,NA,NA,0.646915170915776,1.48110124572619,NA,NA,NA,NA,NA,NA,NA,NA,-1.59768356463672,0.3058851870573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.220050404864921,0.112995460792255,NA,NA,NA,NA,-0.51184011566915,0.129819890045836,NA,NA,NA,NA,1.09805257887391,1.9818044705674,0.208914704988191,1.92314823218341,0,1521.09904096468,509.509075074296,7,60,1033.01815014859,4.21112219870929,0.0233007313008221,NA,0.933717843045433
"37","37","~Elevation^2 ~ Tmin^2 ~ 1 ~ Tmin^2",1.70412777790983,0.886458506572903,NA,NA,0.646915170915776,1.48110124572619,NA,NA,NA,NA,NA,NA,NA,NA,-1.59768356463672,0.3058851870573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.220050404864921,0.112995460792255,NA,NA,NA,NA,-0.51184011566915,0.129819890045836,NA,NA,NA,NA,1.09805257887391,1.9818044705674,0.208914704988191,1.92314823218341,0,1521.09904096468,509.509075074296,7,60,1033.01815014859,4.21112219870929,0.0233007313008221,NA,0.957018574346255
"63","63","~1 ~ 1 ~ ForestGainCT ~ ForestGainCT",1.84392390314991,0.795192201264326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00662489463290671,0.148806266742116,-1.43796587893042,0.272007587028225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248084927098852,0.0805663205836536,0.0548619763381066,0.0842171708928306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08377808027464,0.464738053818759,0,97.9160994583454,511.099879040358,6,60,1034.19975808072,5.39273013083357,0.0129058510760048,NA,0.96992442542226
"5","5","~Elevation ~ Tmin ~ Tmin ~ Tmin",1.73390574206357,0.889028072723622,NA,NA,0.677791141280445,1.49835377309692,NA,NA,NA,NA,NA,NA,NA,NA,-1.48502367716292,0.348453158358668,NA,NA,NA,NA,0.259393880286759,0.424822937303221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.223643222815488,0.112917240259167,NA,NA,NA,NA,-0.515396497807356,0.12965373470673,NA,NA,NA,NA,1.09571638797913,1.97738813143455,0.202677630603649,1.92146772304852,0,1515.9330437449,509.309436175612,8,60,1034.61887235122,5.81184440134211,0.0104659135209931,NA,0.980390338943253
"36","36","~Elevation^2 ~ Tmin^2 ~ Tmin^2 ~ Tmin^2",1.73390574206357,0.889028072723622,NA,NA,0.677791141280445,1.49835377309692,NA,NA,NA,NA,NA,NA,NA,NA,-1.48502367716292,0.348453158358668,NA,NA,NA,NA,0.259393880286759,0.424822937303221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.223643222815488,0.112917240259167,NA,NA,NA,NA,-0.515396497807356,0.12965373470673,NA,NA,NA,NA,1.09571638797913,1.97738813143455,0.202677630603649,1.92146772304852,0,1515.9330437449,509.309436175612,8,60,1034.61887235122,5.81184440134211,0.0104659135209931,NA,0.990856252464246
"64","64","~Elevation^2 ~ 1 ~ ForestGainCT ~ ForestGainCT",1.81937397645986,0.772639184760863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00696843356386106,0.148808458043297,-1.44065559171738,0.271979735981409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.247837082134528,0.0805689966525671,0.0568552213103399,0.0841939902897414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29176325238797,1.72683179761142,-0.152089492342389,1.65390548896605,0,865.437334751588,510.808671832681,7,60,1035.61734366536,6.81031571547965,0.00635275125767116,NA,0.997209003721917
