"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"46","46","~1 ~ 1 ~ Tvar + Biotic ~ Tvar + Biotic",NA,NA,NA,NA,-1.1232519889644,0.430755915281371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.24016500507269,2.78010956253631,-2.05454288403288,1.51233972507846,NA,NA,NA,NA,NA,NA,NA,NA,1.72638299198991,1.7202233774508,NA,NA,0.497346553446322,0.181528875596159,-1.51835400172154,0.15194319874793,NA,NA,NA,NA,NA,NA,NA,NA,0.287285080224944,0.154865102266972,NA,NA,0.284286100334758,0.523611987247299,0,793.981518467107,258.449362741403,8,61,532.898725482806,4.79176905592487,0.00931994554356711,NA,0.762654291797721
"88","88","~1 ~ 1 ~ Tvar^2 + Biotic ~ Tvar^2 + Biotic",NA,NA,NA,NA,-1.1232519889644,0.430755915281371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.24016500507269,2.78010956253631,-2.05454288403288,1.51233972507846,NA,NA,NA,NA,NA,NA,NA,NA,1.72638299198991,1.7202233774508,NA,NA,0.497346553446322,0.181528875596159,-1.51835400172154,0.15194319874793,NA,NA,NA,NA,NA,NA,NA,NA,0.287285080224944,0.154865102266972,NA,NA,0.284286100334758,0.523611987247299,0,793.981518467107,258.449362741403,8,61,532.898725482806,4.79176905592487,0.00931994554356711,NA,0.771974237341288
"14","14","~1 ~ Tvar ~ Tvar ~ Tvar",NA,NA,NA,NA,-1.17315954139195,0.521316637758356,NA,NA,NA,NA,NA,NA,NA,NA,-0.269338470628019,0.605649035158317,NA,NA,NA,NA,-1.02250516734943,0.498934194847236,NA,NA,NA,NA,NA,NA,NA,NA,0.150563885271581,0.534547111152424,NA,NA,NA,NA,-1.55510773249102,0.17276962162054,NA,NA,NA,NA,NA,NA,NA,NA,0.112817291634302,0.150344916841286,NA,NA,0.730706181899865,0.751130081671949,0,31.0528493817899,259.501069378097,7,61,533.002138756195,4.89518232931346,0.00885028931124113,NA,0.780824526652529
"61","61","~1 ~ Tvar^2 ~ Tvar^2 ~ Tvar^2",NA,NA,NA,NA,-1.17315954139195,0.521316637758356,NA,NA,NA,NA,NA,NA,NA,NA,-0.269338470628019,0.605649035158317,NA,NA,NA,NA,-1.02250516734943,0.498934194847236,NA,NA,NA,NA,NA,NA,NA,NA,0.150563885271581,0.534547111152424,NA,NA,NA,NA,-1.55510773249102,0.17276962162054,NA,NA,NA,NA,NA,NA,NA,NA,0.112817291634302,0.150344916841286,NA,NA,0.730706181899865,0.751130081671949,0,31.0528493817899,259.501069378097,7,61,533.002138756195,4.89518232931346,0.00885028931124113,NA,0.78967481596377
"34","34","~1 ~ 1 ~ Tmax + Biotic ~ Tmax + Biotic",NA,NA,NA,NA,-1.12328795849192,0.523720776879249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.685754111487285,1.31467007123035,-1.07822307519379,0.703544288502644,NA,NA,0.114297292312492,0.74663394265481,NA,NA,NA,NA,NA,NA,NA,NA,0.277279529195272,0.297534638470868,-1.58406860397893,0.190362025310798,NA,NA,0.275825453371107,0.164872129334164,NA,NA,NA,NA,NA,NA,NA,NA,0.68512015079225,0.712009935497101,0,155.179176667724,258.555707057431,8,61,533.111414114862,5.00445768798068,0.00837970297778663,NA,0.798054518941557
"78","78","~1 ~ 1 ~ Tmax^2 + Biotic ~ Tmax^2 + Biotic",NA,NA,NA,NA,-1.12328795849192,0.523720776879249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.685754111487285,1.31467007123035,-1.07822307519379,0.703544288502644,NA,NA,0.114297292312492,0.74663394265481,NA,NA,NA,NA,NA,NA,NA,NA,0.277279529195272,0.297534638470868,-1.58406860397893,0.190362025310798,NA,NA,0.275825453371107,0.164872129334164,NA,NA,NA,NA,NA,NA,NA,NA,0.68512015079225,0.712009935497101,0,155.179176667724,258.555707057431,8,61,533.111414114862,5.00445768798068,0.00837970297778663,NA,0.806434221919343
"19","19","~Elevation ~ 1 ~ Tvar ~ Tvar",NA,NA,NA,NA,-1.17463345377851,0.535517384426825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.07677503052688,0.504638439695948,NA,NA,NA,NA,NA,NA,NA,NA,0.205878291411931,0.50264186350298,NA,NA,NA,NA,-1.56400309108635,0.172075333844358,NA,NA,NA,NA,NA,NA,NA,NA,0.11603753711031,0.150701674943753,0.224927429075498,1.00745509898739,0.855150539062023,0.929866693499554,0,79.4359897835491,259.590424663468,7,61,533.180849326935,5.07389290005403,0.00809377189160911,NA,0.814527993810953
"66","66","~Elevation^2 ~ 1 ~ Tvar^2 ~ Tvar^2",NA,NA,NA,NA,-1.17463345377851,0.535517384426825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.07677503052688,0.504638439695948,NA,NA,NA,NA,NA,NA,NA,NA,0.205878291411931,0.50264186350298,NA,NA,NA,NA,-1.56400309108635,0.172075333844358,NA,NA,NA,NA,NA,NA,NA,NA,0.11603753711031,0.150701674943753,0.224927429075498,1.00745509898739,0.855150539062023,0.929866693499554,0,79.4359897835491,259.590424663468,7,61,533.180849326935,5.07389290005403,0.00809377189160911,NA,0.822621765702562
"42","42","~1 ~ 1 ~ Tvar * Biotic ~ Tvar * Biotic",NA,NA,NA,NA,-1.11349184242657,0.521157770118533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.68541661923417,3.24574176790108,-1.97389479141724,1.45066688810847,NA,NA,NA,NA,NA,NA,-0.471447163517235,0.682401748992,1.01351114277775,1.35238768810699,NA,NA,0.457255837692015,0.213647353388459,-1.58697414118614,0.163548951027619,NA,NA,NA,NA,NA,NA,-0.290249261593177,0.152093103786457,0.00839398898220426,0.193285180422644,NA,NA,0.473590083592766,0.756267072391264,0,1799.25821759059,256.671794113608,10,61,533.343588227216,5.23663180033452,0.00746126830254316,NA,0.830083034005105
"84","84","~1 ~ 1 ~ Tvar^2 * Biotic ~ Tvar^2 * Biotic",NA,NA,NA,NA,-1.11349184242657,0.521157770118533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.68541661923417,3.24574176790108,-1.97389479141724,1.45066688810847,NA,NA,NA,NA,NA,NA,-0.471447163517235,0.682401748992,1.01351114277775,1.35238768810699,NA,NA,0.457255837692015,0.213647353388459,-1.58697414118614,0.163548951027619,NA,NA,NA,NA,NA,NA,-0.290249261593177,0.152093103786457,0.00839398898220426,0.193285180422644,NA,NA,0.473590083592766,0.756267072391264,0,1799.25821759059,256.671794113608,10,61,533.343588227216,5.23663180033452,0.00746126830254316,NA,0.837544302307648
