"","model","formula","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmin)","SEcol(Tmin)","ext(Int)","SEext(Int)","ext(Tmin)","SEext(Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmin)","SEp(Tmin)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"2","2","~Elevation ~ Tmin ~ 1 ~ Tmin",NA,NA,5.54711786299023,7.85817717297786,-5.60825844643072,7.2488564129694,1.06318695958581,0.71051920865858,NA,NA,NA,NA,-2.72631999385399,0.232570999751206,-0.751934145887356,0.240544363983412,5.13103652846086,5.22136696073162,4.03223642985207,5.32225354312356,0,4532.95927379671,125.839592601856,7,61,265.679185203713,0,0.276074332532501,NA,0.276074332532501
"5","5","~Elevation^2 ~ Tmin^2 ~ 1 ~ Tmin^2",NA,NA,5.54711786299023,7.85817717297786,-5.60825844643072,7.2488564129694,1.06318695958581,0.71051920865858,NA,NA,NA,NA,-2.72631999385399,0.232570999751206,-0.751934145887356,0.240544363983412,5.13103652846086,5.22136696073162,4.03223642985207,5.32225354312356,0,4532.95927379671,125.839592601856,7,61,265.679185203713,0,0.276074332532501,NA,0.552148665065002
"1","1","~Elevation ~ Tmin ~ Tmin ~ Tmin",NA,NA,5.35572141311636,6.52997067657823,-5.03247669861658,5.90414917135875,1.25620792907589,0.812126072239673,0.816201635119805,0.709566926064815,NA,NA,-2.72645299840955,0.234407690640229,-0.732671581809199,0.240901354268288,5.30327648354646,5.21746532848948,4.00849987498231,5.07799251699367,0,3058.20207977359,125.048960640249,8,61,266.097921280499,0.418736076785933,0.223922970682731,NA,0.776071635747733
"4","4","~Elevation^2 ~ Tmin^2 ~ Tmin^2 ~ Tmin^2",NA,NA,5.35572141311636,6.52997067657823,-5.03247669861658,5.90414917135875,1.25620792907589,0.812126072239673,0.816201635119805,0.709566926064815,NA,NA,-2.72645299840955,0.234407690640229,-0.732671581809199,0.240901354268288,5.30327648354646,5.21746532848948,4.00849987498231,5.07799251699367,0,3058.20207977359,125.048960640249,8,61,266.097921280499,0.418736076785933,0.223922970682731,NA,0.999994606430464
"3","3","~1 ~ Biotic ~ 1 ~ Biotic",-2.36661172283899,3.78411408025915,2.05970599157125,3.29756514789005,NA,NA,0.664704679667843,0.92770006922828,NA,NA,-0.211509428811045,0.285820428271586,-2.75261932545021,0.318322473173407,NA,NA,NA,NA,0.835183412540362,1.18738910171257,0,691.91569212264,137.682810613717,6,61,287.365621227434,21.6864360237215,5.39356953622675e-06,NA,1
