"","model","formula","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmin)","SEcol(Tmin)","col(Tvar)","SEcol(Tvar)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmin)","SEext(Tmin)","ext(Tvar)","SEext(Tvar)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmin)","SEp(Tmin)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"22","22","~1 ~ 1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,-2.0808931295145,0.606014578306553,NA,NA,NA,NA,-1.55328237709944,1.14432858118292,-4.86747110610825,2.06495949164354,-1.98920047898309,2.74470961957317,NA,NA,-0.00679788669206806,0.089141821659008,0.804777735811808,0.133931868923437,-1.23313761521707,0.179094205897521,NA,NA,NA,NA,0.612349388687498,0.410585598554463,0,3104.68615546065,593.270894030848,8,60,1202.5417880617,19.3257547496476,2.03085058524525e-05,NA,0.999999999998133
"11","11","~Elevation ~ Biotic ~ 1 ~ Biotic",-0.598234471028877,0.474030866589711,-1.43156611028004,0.773882512379552,NA,NA,NA,NA,NA,NA,-3.09535797808192,0.892496504098925,NA,NA,NA,NA,0.159277457370843,0.0904870247256536,0.216570804018591,0.1090244854261,NA,NA,NA,NA,-5.42127065403069,2.08365923766307,-2.97207692057229,1.41272021318617,0,1835.24004153055,611.902207833304,7,60,1237.80441566661,54.5883823545582,4.47193702774627e-13,NA,0.99999999999858
"20","20","~Elevation^2 ~ Biotic ~ 1 ~ Biotic",-0.598234471028877,0.474030866589711,-1.43156611028004,0.773882512379552,NA,NA,NA,NA,NA,NA,-3.09535797808192,0.892496504098925,NA,NA,NA,NA,0.159277457370843,0.0904870247256536,0.216570804018591,0.1090244854261,NA,NA,NA,NA,-5.42127065403069,2.08365923766307,-2.97207692057229,1.41272021318617,0,1835.24004153055,611.902207833304,7,60,1237.80441566661,54.5883823545582,4.47193702774627e-13,NA,0.999999999999027
"10","10","~Elevation ~ Biotic ~ Biotic ~ Biotic",-1.23828886408737,0.898444028753665,-2.85696094573502,1.29601025576676,NA,NA,NA,NA,-1.60977417132018,1.33713067136284,-6.12173887856099,2.53452110410662,NA,NA,NA,NA,0.123476942425753,0.0843327229879082,0.135731277543737,0.0869574565170603,NA,NA,NA,NA,-5.43754680251173,2.12646036500219,-2.71408483819701,1.28178244997848,0,2588.71749872205,611.375502170371,8,60,1238.75100434074,55.534971028693,2.78577835988487e-13,NA,0.999999999999306
"19","19","~Elevation^2 ~ Biotic ~ Biotic ~ Biotic",-1.23828886408737,0.898444028753665,-2.85696094573502,1.29601025576676,NA,NA,NA,NA,-1.60977417132018,1.33713067136284,-6.12173887856099,2.53452110410662,NA,NA,NA,NA,0.123476942425753,0.0843327229879082,0.135731277543737,0.0869574565170603,NA,NA,NA,NA,-5.43754680251173,2.12646036500219,-2.71408483819701,1.28178244997848,0,2588.71749872205,611.375502170371,8,60,1238.75100434074,55.534971028693,2.78577835988487e-13,NA,0.999999999999584
"12","12","~Elevation ~ 1 ~ Biotic ~ Biotic",NA,NA,-1.18985587259485,0.644683154161401,NA,NA,NA,NA,0.326331883173333,0.595681937490273,-2.90606656936007,0.848443693276666,NA,NA,NA,NA,0.164431118169043,0.0893746315504392,0.220017991055669,0.101718437535936,NA,NA,NA,NA,-5.69591278727398,2.17387459639726,-3.12179665108569,1.44516543136019,0,1975.92991161984,612.728500401756,7,60,1239.45700080351,56.2409674914634,1.95722780303799e-13,NA,0.99999999999978
"21","21","~Elevation^2 ~ 1 ~ Biotic ~ Biotic",NA,NA,-1.18985587259485,0.644683154161401,NA,NA,NA,NA,0.326331883173333,0.595681937490273,-2.90606656936007,0.848443693276666,NA,NA,NA,NA,0.164431118169043,0.0893746315504392,0.220017991055669,0.101718437535936,NA,NA,NA,NA,-5.69591278727398,2.17387459639726,-3.12179665108569,1.44516543136019,0,1975.92991161984,612.728500401756,7,60,1239.45700080351,56.2409674914634,1.95722780303799e-13,NA,0.999999999999976
"8","8","~1 ~ Biotic ~ 1 ~ Biotic",-0.739227403800612,0.489558106461227,-1.11046571902095,0.654135039780534,NA,NA,NA,NA,NA,NA,-2.65129931067023,0.576454892358417,NA,NA,NA,NA,0.160819970180331,0.0890098562490145,0.227421414802611,0.0985720917382406,NA,NA,NA,NA,NA,NA,0.628558192353493,0.43861276844559,0,186.468315619306,616.637862988822,6,60,1245.27572597764,62.0596926655946,1.0668939662304e-14,NA,0.999999999999986
"1","1","~1 ~ 1 ~ 1 ~ 1",NA,NA,-0.744688354159845,0.66695472589844,NA,NA,NA,NA,NA,NA,-2.63534461120721,0.608599076354915,NA,NA,NA,NA,NA,NA,0.1247964442492,0.0786269980455261,NA,NA,NA,NA,NA,NA,0.647916491461837,0.46028492803881,0,121.690548686826,619.312241760359,4,60,1246.62448352072,63.4084502086687,5.43553479042325e-15,NA,0.999999999999992
"7","7","~1 ~ Biotic ~ Biotic ~ Biotic",-0.68946197262578,0.500748472755639,-1.03774408899497,0.652389608660014,NA,NA,NA,NA,0.185437527617125,0.506082896463144,-2.50866231908489,0.627371068663467,NA,NA,NA,NA,0.16604311869719,0.089371199531345,0.232755874468464,0.09767980221931,NA,NA,NA,NA,NA,NA,0.649162499800653,0.449628747191776,0,224.031027667746,616.574804651175,7,60,1247.14960930235,63.9335759903006,4.18035019785484e-15,NA,0.999999999999996
"9","9","~1 ~ 1 ~ Biotic ~ Biotic",NA,NA,-0.714382649434897,0.637359301028615,NA,NA,NA,NA,0.423068628367126,0.464650243684433,-2.34880063565733,0.56841287564963,NA,NA,NA,NA,0.154140213979642,0.0889553506821251,0.225034267679469,0.0960748125937369,NA,NA,NA,NA,NA,NA,0.669608433062615,0.46470866317283,0,182.818476915221,617.613154059579,6,60,1247.22630811916,64.0102748071088,4.02307129240272e-15,NA,1
