"","model","formula","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"20","20","~1 ~ 1 ~ Tvar * Biotic ~ Tvar * Biotic",NA,NA,-0.155640317073079,1.28416505286213,NA,NA,NA,NA,NA,NA,NA,NA,-0.961596067387224,2.60299951661912,-0.482172128177906,1.52975403489557,NA,NA,NA,NA,-5.56226287039368,7.22310640385798,2.34015311544497,3.63350435132695,NA,NA,0.770223973350905,0.571070968562851,-3.28452610970856,0.466778445583958,NA,NA,NA,NA,-0.102162408699714,0.37512835725616,0.776741145980048,0.228123677804458,NA,NA,-1.26878196805008,1.44653016381709,0,2104.47941873566,80.8500900414852,10,61,181.70018008297,5.73539940488658,0.00909328304191199,NA,0.936597509527506
"38","38","~1 ~ 1 ~ Tvar^2 * Biotic ~ Tvar^2 * Biotic",NA,NA,-0.155640317073079,1.28416505286213,NA,NA,NA,NA,NA,NA,NA,NA,-0.961596067387224,2.60299951661912,-0.482172128177906,1.52975403489557,NA,NA,NA,NA,-5.56226287039368,7.22310640385798,2.34015311544497,3.63350435132695,NA,NA,0.770223973350905,0.571070968562851,-3.28452610970856,0.466778445583958,NA,NA,NA,NA,-0.102162408699714,0.37512835725616,0.776741145980048,0.228123677804458,NA,NA,-1.26878196805008,1.44653016381709,0,2104.47941873566,80.8500900414852,10,61,181.70018008297,5.73539940488658,0.00909328304191199,NA,0.945690792569418
"1","1","~1 ~ 1 ~ 1 ~ 1",NA,NA,-1.08930881492104,0.637992807842704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78380465113628,1.01511230795922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.27274990013927,0.490775368919133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.17271439109682,1.17252109246263,0,25.1967056334731,87.1128230454601,4,61,182.22564609092,6.26086541283649,0.00699225431332875,NA,0.952683046882747
"4","4","~1 ~ 1 ~ Tmin ~ Tmin",NA,NA,-1.15031302776172,0.542329211077139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77263771449567,1.60906979483754,NA,NA,1.58058220847732,1.48265459465304,NA,NA,NA,NA,NA,NA,NA,NA,-2.11532375646577,0.434576270439188,NA,NA,-0.351449684042126,0.296629766303214,NA,NA,NA,NA,NA,NA,-2.28297690961065,1.12747492762721,0,62.9397462877315,85.2371147906651,6,61,182.47422958133,6.50944890324644,0.00617501470896855,NA,0.958858061591715
"25","25","~1 ~ 1 ~ Tmin^2 ~ Tmin^2",NA,NA,-1.15031302776172,0.542329211077139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77263771449567,1.60906979483754,NA,NA,1.58058220847732,1.48265459465304,NA,NA,NA,NA,NA,NA,NA,NA,-2.11532375646577,0.434576270439188,NA,NA,-0.351449684042126,0.296629766303214,NA,NA,NA,NA,NA,NA,-2.28297690961065,1.12747492762721,0,62.9397462877315,85.2371147906651,6,61,182.47422958133,6.50944890324644,0.00617501470896855,NA,0.965033076300684
"17","17","~Elevation ~ 1 ~ Biotic * Tmin ~ Biotic * Tmin",NA,NA,-0.399004455772068,0.82293124809747,NA,NA,NA,NA,NA,NA,4.06782099846601,6.78465818451769,-2.26603952913481,4.04911196361453,2.95447925961717,2.87605287898257,NA,NA,1.38446292593203,2.20271017508319,NA,NA,NA,NA,-1.76559254042164,0.963374661207169,0.635283271086872,0.782795347496824,-2.71246070959709,0.500058127890417,NA,NA,-0.132495840423878,0.301094172941644,NA,NA,NA,NA,1.56925545332111,1.59543097356221,-2.27259627167297,1.59949367728705,0,1172.82157671118,81.1726575160106,11,61,184.345315032021,8.38053435393752,0.00242290816362063,NA,0.967455984464304
"35","35","~Elevation^2 ~ 1 ~ Biotic * Tmin^2 ~ Biotic * Tmin^2",NA,NA,-0.399004455772068,0.82293124809747,NA,NA,NA,NA,NA,NA,4.06782099846601,6.78465818451769,-2.26603952913481,4.04911196361453,2.95447925961717,2.87605287898257,NA,NA,1.38446292593203,2.20271017508319,NA,NA,NA,NA,-1.76559254042164,0.963374661207169,0.635283271086872,0.782795347496824,-2.71246070959709,0.500058127890417,NA,NA,-0.132495840423878,0.301094172941644,NA,NA,NA,NA,1.56925545332111,1.59543097356221,-2.27259627167297,1.59949367728705,0,1172.82157671118,81.1726575160106,11,61,184.345315032021,8.38053435393752,0.00242290816362063,NA,0.969878892627925
"2","2","~1 ~ Tmin ~ Tmin ~ Tmin",NA,NA,-1.13360144554418,0.55642545583263,NA,NA,0.11453606662594,0.443496809202127,NA,NA,NA,NA,NA,NA,1.78444407935486,1.60452736751983,NA,NA,1.61382591349428,1.48633360598249,NA,NA,NA,NA,NA,NA,NA,NA,-2.13350539848491,0.442533819655319,NA,NA,-0.368866493506186,0.306094957567216,NA,NA,NA,NA,NA,NA,-2.24489776585071,1.14504184594011,0,62.5461110609277,85.2027748376957,7,61,184.405549675391,8.44076899730763,0.00235102456323966,NA,0.972229917191164
"23","23","~1 ~ Tmin^2 ~ Tmin^2 ~ Tmin^2",NA,NA,-1.13360144554418,0.55642545583263,NA,NA,0.11453606662594,0.443496809202127,NA,NA,NA,NA,NA,NA,1.78444407935486,1.60452736751983,NA,NA,1.61382591349428,1.48633360598249,NA,NA,NA,NA,NA,NA,NA,NA,-2.13350539848491,0.442533819655319,NA,NA,-0.368866493506186,0.306094957567216,NA,NA,NA,NA,NA,NA,-2.24489776585071,1.14504184594011,0,62.5461110609277,85.2027748376957,7,61,184.405549675391,8.44076899730763,0.00235102456323966,NA,0.974580941754404
"3","3","~1 ~ Tmin ~ 1 ~ Tmin",NA,NA,-1.07739464111647,0.622172248690016,NA,NA,0.00680095967154096,0.504200014971697,NA,NA,NA,NA,NA,NA,0.785680334200448,1.01887717690493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.27688852212401,0.488133553002523,NA,NA,-0.370402204701097,0.318389603377997,NA,NA,NA,NA,NA,NA,-2.15831582042722,1.16491727887516,0,24.3575040236181,86.2855913966667,6,61,184.571182793333,8.60640211524964,0.00216416511418527,NA,0.97674510686859
"24","24","~1 ~ Tmin^2 ~ 1 ~ Tmin^2",NA,NA,-1.07739464111647,0.622172248690016,NA,NA,0.00680095967154096,0.504200014971697,NA,NA,NA,NA,NA,NA,0.785680334200448,1.01887717690493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.27688852212401,0.488133553002523,NA,NA,-0.370402204701097,0.318389603377997,NA,NA,NA,NA,NA,NA,-2.15831582042722,1.16491727887516,0,24.3575040236181,86.2855913966667,6,61,184.571182793333,8.60640211524964,0.00216416511418527,NA,0.978909271982775
"7","7","~1 ~ 1 ~ Tmax ~ Tmax",NA,NA,-0.928515067403869,0.740736585826676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.268322499285557,1.15787121161676,0.703140368665478,1.15534253143336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.56666650396193,0.545870821279598,0.258031072587946,0.218882228105116,NA,NA,NA,NA,NA,NA,NA,NA,-1.93630351593502,1.21690712516383,0,59.337123775006,86.2934820260798,6,61,184.58696405216,8.6221833740758,0.00214715568508467,NA,0.981056427667859
