"","model","formula","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmin)","SEcol(Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1","~Elevation ~ Biotic + Tmin ~ 1 ~ Biotic + Tmin",5.96120670184257,3.04252617370285,-3.03562184697057,0.862831081431496,-0.195323300802783,0.629424328716686,NA,NA,-0.618877969167037,0.850621304789161,NA,NA,NA,NA,-0.665768639682019,0.425987378353446,-1.78356299533528,0.362504588058124,-0.526191274178132,0.304109826098292,NA,NA,NA,NA,1.50849963038135,1.26740985995759,-2.02529368984908,1.34476595323396,0,162.986083558512,79.8955155622069,9,61,177.791031124414,0,0.492808216854009,NA,0.492808216854009
"3","3","~Elevation^2 ~ Biotic + Tmin^2 ~ 1 ~ Biotic + Tmin^2",5.96120670184257,3.04252617370285,-3.03562184697057,0.862831081431496,-0.195323300802783,0.629424328716686,NA,NA,-0.618877969167037,0.850621304789161,NA,NA,NA,NA,-0.665768639682019,0.425987378353446,-1.78356299533528,0.362504588058124,-0.526191274178132,0.304109826098292,NA,NA,NA,NA,1.50849963038135,1.26740985995759,-2.02529368984908,1.34476595323396,0,162.986083558512,79.8955155622069,9,61,177.791031124414,0,0.492808216854009,NA,0.985616433708019
"2","2","~Elevation ~ 1 ~ Tvar * Biotic ~ Tvar * Biotic",NA,NA,-1.92829063246144,0.588255606906305,NA,NA,0.317726805832459,1.02099350894187,-0.206365633009402,0.764987751533132,1.06661831910964,1.19953639401614,0.249750643852005,0.800584226144912,-0.0377257529412229,0.559898676812529,-2.04391880917768,0.564302835485233,NA,NA,1.81272057125166,0.934606320085888,-0.637478292747272,0.422289625529973,2.26704570959566,4.35383410153178,-2.52089555016277,2.63817898696814,0,851.476236313237,82.1226965034982,11,61,186.245393006996,8.45436188258245,0.00719178314599065,NA,0.992808216854009
"4","4","~Elevation^2 ~ 1 ~ Tvar^2 * Biotic ~ Tvar^2 * Biotic",NA,NA,-1.92829063246144,0.588255606906305,NA,NA,0.317726805832459,1.02099350894187,-0.206365633009402,0.764987751533132,1.06661831910964,1.19953639401614,0.249750643852005,0.800584226144912,-0.0377257529412229,0.559898676812529,-2.04391880917768,0.564302835485233,NA,NA,1.81272057125166,0.934606320085888,-0.637478292747272,0.422289625529973,2.26704570959566,4.35383410153178,-2.52089555016277,2.63817898696814,0,851.476236313237,82.1226965034982,11,61,186.245393006996,8.45436188258245,0.00719178314599065,NA,1
