"","model","formula","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"20","20","~1 ~ Biotic + Tmin ~ Biotic + Tmin ~ Biotic + Tmin",0.577533053562588,0.678940894611141,0.413450641600359,0.893172813765421,NA,NA,NA,NA,-1.90573618832856,1.28513187225283,NA,NA,NA,NA,NA,NA,0.162604478228702,0.39153595719639,0.010395458662663,0.441504842677697,NA,NA,NA,NA,-0.573676511126304,0.6568269726767,NA,NA,NA,NA,NA,NA,-0.177967861948144,0.147088181295756,0.131758130489805,0.15387343082019,NA,NA,NA,NA,-1.08077043314485,0.251243234467334,NA,NA,NA,NA,NA,NA,2.67452363854409,2.00206763083843,0,476.086077400135,403.604620880354,10,60,827.209241760708,5.20552882614948,0.013847241037079,NA,0.907794499399849
"58","58","~1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",0.577533053562588,0.678940894611141,0.413450641600359,0.893172813765421,NA,NA,NA,NA,-1.90573618832856,1.28513187225283,NA,NA,NA,NA,NA,NA,0.162604478228702,0.39153595719639,0.010395458662663,0.441504842677697,NA,NA,NA,NA,-0.573676511126304,0.6568269726767,NA,NA,NA,NA,NA,NA,-0.177967861948144,0.147088181295756,0.131758130489805,0.15387343082019,NA,NA,NA,NA,-1.08077043314485,0.251243234467334,NA,NA,NA,NA,NA,NA,2.67452363854409,2.00206763083843,0,476.086077400135,403.604620880354,10,60,827.209241760708,5.20552882614948,0.013847241037079,NA,0.921641740436928
"6","6","~1 ~ Tmax ~ 1 ~ Tmax",NA,NA,-0.786485249251015,0.584891340849655,NA,NA,0.180469755768572,0.682428315145849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.476993517449702,0.319917112455533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.02615330333655,0.239170881137391,NA,NA,0.820306715365036,0.230726680686953,NA,NA,NA,NA,NA,NA,NA,NA,2.11372007969328,1.03939298268842,0,182.80999096654,408.129957755724,6,60,828.259915511447,6.25620257688843,0.00818865069773834,NA,0.929830391134667
"47","47","~1 ~ Tmax^2 ~ 1 ~ Tmax^2",NA,NA,-0.786485249251015,0.584891340849655,NA,NA,0.180469755768572,0.682428315145849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.476993517449702,0.319917112455533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.02615330333655,0.239170881137391,NA,NA,0.820306715365036,0.230726680686953,NA,NA,NA,NA,NA,NA,NA,NA,2.11372007969328,1.03939298268842,0,182.80999096654,408.129957755724,6,60,828.259915511447,6.25620257688843,0.00818865069773834,NA,0.938019041832405
"7","7","~1 ~ 1 ~ Tmax ~ Tmax",NA,NA,-0.664557115486352,0.331831172776367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.483379990117079,0.464129560543994,NA,NA,0.045238504665108,0.46414135244393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.02698243919765,0.239506763688159,NA,NA,0.821311321899843,0.230931454224126,NA,NA,NA,NA,NA,NA,NA,NA,2.10644848832756,1.04224106233312,0,183.00113261973,408.160399598194,6,60,828.320799196387,6.31708626182876,0.00794312910816105,NA,0.945962170940566
"48","48","~1 ~ 1 ~ Tmax^2 ~ Tmax^2",NA,NA,-0.664557115486352,0.331831172776367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.483379990117079,0.464129560543994,NA,NA,0.045238504665108,0.46414135244393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.02698243919765,0.239506763688159,NA,NA,0.821311321899843,0.230931454224126,NA,NA,NA,NA,NA,NA,NA,NA,2.10644848832756,1.04224106233312,0,183.00113261973,408.160399598194,6,60,828.320799196387,6.31708626182876,0.00794312910816105,NA,0.953905300048727
"28","28","~1 ~ Tmax * Biotic ~ 1 ~ Tmax * Biotic",1.04348264849379,1.07338595507279,-0.706433056129013,0.601232519349028,-1.25773909620009,1.32311635586842,-0.0689166352185355,0.751987134553885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.459582060261638,0.316075134080267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.667173538318192,0.286749443826354,-1.03388806392109,0.250130668785197,0.623115966623387,0.297189796360597,0.870387782972104,0.243545074959229,NA,NA,NA,NA,NA,NA,NA,NA,1.90334598588735,0.919475568093794,0,455.984379477143,404.66346386271,10,60,829.32692772542,7.32321479086079,0.00480301106925844,NA,0.958708311117985
"23","23","~1 ~ 1 ~ Biotic * Tmin ~ Biotic * Tmin",NA,NA,-0.813379974693304,0.348480361244797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.646722932600673,0.825925053935263,-0.350596796995307,0.511724793826406,-0.443404806868272,0.375422822368544,NA,NA,NA,NA,0.0119103180149357,0.593812333379232,NA,NA,NA,NA,0.0541886358739883,0.363952632638493,-0.200047984242443,0.21140608202015,0.132028357801184,0.154225459213889,NA,NA,NA,NA,-1.05602622527754,0.260503078934664,NA,NA,NA,NA,NA,NA,2.8844392060166,2.63488079269882,0,802.309321436364,404.816646765637,10,60,829.633293531274,7.62958059671564,0.00412085276775244,NA,0.962829163885738
"61","61","~1 ~ 1 ~ Biotic * Tmin^2 ~ Biotic * Tmin^2",NA,NA,-0.813379974693304,0.348480361244797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.646722932600673,0.825925053935263,-0.350596796995307,0.511724793826406,-0.443404806868272,0.375422822368544,NA,NA,NA,NA,0.0119103180149357,0.593812333379232,NA,NA,NA,NA,0.0541886358739883,0.363952632638493,-0.200047984242443,0.21140608202015,0.132028357801184,0.154225459213889,NA,NA,NA,NA,-1.05602622527754,0.260503078934664,NA,NA,NA,NA,NA,NA,2.8844392060166,2.63488079269882,0,802.309321436364,404.816646765637,10,60,829.633293531274,7.62958059671564,0.00412085276775244,NA,0.96695001665349
"29","29","~1 ~ 1 ~ Tmax * Biotic ~ Tmax * Biotic",NA,NA,-0.716957158658213,0.349557223367587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.113533842782695,0.502795753289815,-0.532386724665005,0.477984175848454,-0.265996847590692,0.611906822896002,-0.056421346193163,0.514162027353816,NA,NA,NA,NA,NA,NA,NA,NA,-0.717119107676379,0.295597663686468,-1.05053419512239,0.254977851631404,0.667019511147018,0.300586732923903,0.884902257004922,0.246924158583997,NA,NA,NA,NA,NA,NA,NA,NA,1.90582262924798,0.88396873692228,0,135.316253220472,404.906557191392,10,60,829.813114382784,7.80940144822489,0.00376651322182981,NA,0.97071652987532
