"","model","formula","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(ForestLossCT)","SEext(ForestLossCT)","ext(Int)","SEext(Int)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(ForestLossCT)","SEp(ForestLossCT)","p(Int)","SEp(Int)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"22","22","~1 ~ Tmax^2 ~ Tmax^2 ~ Tmax^2",NA,NA,-3.85252450396123,2.42218750411122,3.79821678291817,2.44986015496994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.82828026908463,1.97439242048311,3.37946808224872,1.83791346942456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.780705122048153,0.12223368899716,0.123004915177952,0.121359252887395,NA,NA,NA,NA,NA,NA,1.18978273674233,0.684980582423679,0,1288.25460397406,288.725579722905,7,61,591.45115944581,6.36919790202194,0.0149716340400133,NA,0.88970088701169
"12","12","~1 ~ Biotic + Tmin ~ 1 ~ Biotic + Tmin",1.89894357896525,1.52337480106907,1.5436866887838,1.73249692077875,NA,NA,-3.67462182380882,2.3585336236112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.33462465811016,0.658199172379866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0306948096419451,0.129083199741804,NA,NA,-0.729608763554829,0.133600112032036,NA,NA,0.0894237598569032,0.150116737173021,NA,NA,NA,NA,0.526083543255155,0.583982585805869,0,1086.60933669632,287.807906410338,8,61,591.615812820676,6.53385127688796,0.0137884413705478,NA,0.903489328382238
"27","27","~1 ~ Biotic + Tmin^2 ~ 1 ~ Biotic + Tmin^2",1.89894357896525,1.52337480106907,1.5436866887838,1.73249692077875,NA,NA,-3.67462182380882,2.3585336236112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.33462465811016,0.658199172379866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0306948096419451,0.129083199741804,NA,NA,-0.729608763554829,0.133600112032036,NA,NA,0.0894237598569032,0.150116737173021,NA,NA,NA,NA,0.526083543255155,0.583982585805869,0,1086.60933669632,287.807906410338,8,61,591.615812820676,6.53385127688796,0.0137884413705478,NA,0.917277769752786
"6","6","~1 ~ Tmax ~ 1 ~ Tmax",NA,NA,-4.31324406311622,3.02554034000038,3.75811216257992,2.62095784584246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.08325871550502,0.837500582730983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.841751434347638,0.126248596934867,-0.0223128485522902,0.121841878709471,NA,NA,NA,NA,NA,NA,1.64761040602995,0.859862668167474,0,1556.65185876799,289.911352392337,6,61,591.822704784674,6.7407432408861,0.012433378582921,NA,0.929711148335707
"23","23","~1 ~ Tmax^2 ~ 1 ~ Tmax^2",NA,NA,-4.31324406311622,3.02554034000038,3.75811216257992,2.62095784584246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.08325871550502,0.837500582730983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.841751434347638,0.126248596934867,-0.0223128485522902,0.121841878709471,NA,NA,NA,NA,NA,NA,1.64761040602995,0.859862668167474,0,1556.65185876799,289.911352392337,6,61,591.822704784674,6.7407432408861,0.012433378582921,NA,0.942144526918628
"4","4","~1 ~ 1 ~ Tmin ~ Tmin",NA,NA,-0.656153085925197,0.804388918165161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.61202990846846,0.844292080833825,NA,NA,0.73946730849194,0.827447141476008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.763359356438657,0.143196141106286,NA,NA,0.0751755501286942,0.135465902906887,NA,NA,NA,NA,1.1219631047226,0.929953261917368,0,134.672786921848,290.728421166439,6,61,593.456842332879,8.3748807890903,0.00549212859857616,NA,0.947636655517204
"21","21","~1 ~ 1 ~ Tmin^2 ~ Tmin^2",NA,NA,-0.656153085925197,0.804388918165161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.61202990846846,0.844292080833825,NA,NA,0.73946730849194,0.827447141476008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.763359356438657,0.143196141106286,NA,NA,0.0751755501286942,0.135465902906887,NA,NA,NA,NA,1.1219631047226,0.929953261917368,0,134.672786921848,290.728421166439,6,61,593.456842332879,8.3748807890903,0.00549212859857616,NA,0.95312878411578
"18","18","~1 ~ 1 ~ Tvar + Biotic ~ Tvar + Biotic",NA,NA,-0.735393206775049,0.769932507855224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.569630798247276,0.522213449603798,NA,NA,-2.95109007920858,0.994417187496034,NA,NA,NA,NA,NA,NA,-0.803766959290473,1.16046408580941,NA,NA,0.122258914826602,0.11639775097724,NA,NA,-0.80922470641564,0.131661968764294,NA,NA,NA,NA,NA,NA,-0.238954081968329,0.131630799077744,1.23815940984186,0.907050247381759,0,212.298926039165,288.735163955228,8,61,593.470327910457,8.38836636666838,0.00545522090565726,NA,0.958584005021437
"33","33","~1 ~ 1 ~ Tvar^2 + Biotic ~ Tvar^2 + Biotic",NA,NA,-0.735393206775049,0.769932507855224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.569630798247276,0.522213449603798,NA,NA,-2.95109007920858,0.994417187496034,NA,NA,NA,NA,NA,NA,-0.803766959290473,1.16046408580941,NA,NA,0.122258914826602,0.11639775097724,NA,NA,-0.80922470641564,0.131661968764294,NA,NA,NA,NA,NA,NA,-0.238954081968329,0.131630799077744,1.23815940984186,0.907050247381759,0,212.298926039165,288.735163955228,8,61,593.470327910457,8.38836636666838,0.00545522090565726,NA,0.964039225927094
"10","10","~1 ~ 1 ~ Biotic ~ Biotic",NA,NA,-0.582950370241878,0.727508318989978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.402643638148246,0.478499090421644,NA,NA,-2.6100896406512,0.776142332250275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0859664183155713,0.114450912384551,NA,NA,-0.767591271265461,0.135549863947864,NA,NA,NA,NA,NA,NA,NA,NA,1.0267975216344,0.858324080479084,0,96.4364250901132,290.763245917966,6,61,593.526491835932,8.44453029214333,0.00530415858581753,NA,0.969343384512912
